tf,ema_period,atr_channel_mult,sl_atr_mult,rr,session_label,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,total_trades,total_longs,total_shorts,avg_bars
M1,100,1.5,1.5,4.0,london,8416,19.2,0.8229,100.0,-100.0,40564,19.24,0.8152,100.0,-100.0,48980,24246,24734,17.5797223356472
M1,50,1.5,1.5,4.0,london,10543,20.34,0.884,100.0,-100.0,51425,19.21,0.8141,100.0,-100.0,61968,30725,31243,17.729863800671314
M1,100,2.0,1.5,4.0,london,7774,19.73,0.8484,100.0,-100.0,38225,19.2,0.8138,100.0,-100.0,45999,22755,23244,17.598597795604253
M1,100,2.0,1.5,3.0,london,7774,25.47,0.8366,100.0,-100.0,38225,25.14,0.8076,100.0,-100.0,45999,22755,23244,13.615498163003545
M1,100,2.5,1.5,4.0,london,7103,19.47,0.8292,100.0,-100.0,34890,19.05,0.8054,100.0,-100.0,41993,20655,21338,17.43085276117448
M1,50,1.5,1.5,3.0,london,10543,25.8,0.8532,100.0,-100.0,51425,25.07,0.8049,100.0,-100.0,61968,30725,31243,13.68090466046992
M1,100,1.5,1.5,3.0,london,8416,24.76,0.8035,100.0,-100.0,40564,25.06,0.8037,100.0,-100.0,48980,24246,24734,13.631269906084116
M1,50,2.0,1.5,4.0,london,9108,19.72,0.8516,100.0,-100.0,44833,18.97,0.8013,100.0,-100.0,53941,26806,27135,17.63245953912608
M1,100,3.0,1.5,4.0,london,6399,19.94,0.8597,100.0,-99.99,31185,18.98,0.7994,100.0,-100.0,37584,18352,19232,17.33189655172414
M1,100,2.5,1.5,3.0,london,7103,24.65,0.8042,100.0,-100.0,34890,24.93,0.7992,100.0,-100.0,41993,20655,21338,13.581596932822137
M1,50,2.0,1.5,3.0,london,9108,25.69,0.8502,100.0,-100.0,44833,24.83,0.7949,100.0,-100.0,53941,26806,27135,13.632459539126081
M1,100,3.0,1.5,3.0,london,6399,25.49,0.8411,100.0,-99.99,31185,24.71,0.7898,100.0,-100.0,37584,18352,19232,13.431896551724138
M1,20,1.5,1.5,4.0,london,11519,19.32,0.8368,100.0,-100.0,57528,18.73,0.7892,100.0,-100.0,69047,34152,34895,17.46663432154909
M1,50,2.5,1.5,4.0,london,7531,18.66,0.8037,100.0,-100.0,37420,18.71,0.7879,100.0,-100.0,44951,22229,22722,17.5
M1,100,1.5,1.5,4.0,newyork,7142,17.7,0.7695,100.0,-100.0,32692,18.23,0.7864,100.0,-100.0,39834,19906,19928,20.492423557764724
M1,50,2.5,1.5,3.0,london,7531,25.16,0.8272,100.0,-100.0,37420,24.6,0.7863,100.0,-100.0,44951,22229,22722,13.532984805677293
M1,20,1.5,1.5,3.0,london,11519,25.15,0.827,100.0,-100.0,57528,24.47,0.7798,100.0,-100.0,69047,34152,34895,13.533268643098177
M1,100,2.0,1.5,4.0,newyork,6722,17.96,0.7851,100.0,-100.0,30890,18.07,0.7787,100.0,-100.0,37612,18680,18932,20.6178719557588
M1,20,3.0,1.5,4.0,london,2574,18.65,0.7987,99.63,-99.49,12588,18.41,0.7745,100.0,-100.0,15162,7412,7750,15.650929956470122
M1,50,1.5,1.5,2.0,london,10543,33.88,0.8032,100.0,-100.0,51425,33.62,0.7744,100.0,-100.0,61968,30725,31243,9.131945520268523
M1,100,2.5,1.5,2.0,london,7103,32.39,0.7511,100.0,-100.0,34890,33.58,0.7723,100.0,-100.0,41993,20655,21338,9.066170552234897
M1,50,3.0,1.5,4.0,london,5942,18.5,0.799,100.0,-100.0,29641,18.41,0.7714,100.0,-100.0,35583,17631,17952,17.083494927352948
M1,100,2.0,1.5,3.0,newyork,6722,24.4,0.7784,100.0,-100.0,30890,24.61,0.7713,100.0,-100.0,37612,18680,18932,15.8536158672764
M1,100,3.0,1.5,2.0,london,6399,32.93,0.7729,100.0,-100.0,31185,33.49,0.7697,100.0,-100.0,37584,18352,19232,9.0
M1,100,1.5,1.5,3.0,newyork,7142,23.79,0.7483,100.0,-100.0,32692,24.49,0.7679,100.0,-100.0,39834,19906,19928,15.964141185921575
M1,20,2.0,1.5,4.0,london,7821,18.83,0.8058,100.0,-100.0,38593,18.28,0.7644,100.0,-100.0,46414,23045,23369,16.8
M1,50,2.0,1.5,2.0,london,9108,34.08,0.8118,100.0,-100.0,44833,33.34,0.7643,100.0,-100.0,53941,26806,27135,9.083114884781521
M1,100,1.5,1.5,2.0,london,8416,33.48,0.7875,100.0,-100.0,40564,33.33,0.7635,100.0,-100.0,48980,24246,24734,9.165634953042058
M1,100,2.0,1.5,2.0,london,7774,33.9,0.8034,100.0,-100.0,38225,33.33,0.7632,100.0,-100.0,45999,22755,23244,9.083099632600709
M1,50,3.0,1.5,3.0,london,5942,24.77,0.8122,100.0,-100.0,29641,23.98,0.761,100.0,-100.0,35583,17631,17952,13.183301014529409
M1,50,2.5,1.5,3.0,newyork,6401,23.12,0.7189,100.0,-100.0,31070,24.3,0.7608,100.0,-100.0,37471,18740,18731,15.512092017827118
M1,50,2.0,1.5,3.0,newyork,7810,23.76,0.7456,100.0,-100.0,37284,24.34,0.7597,100.0,-100.0,45094,22606,22488,15.696083736195504
M1,50,2.0,1.5,4.0,newyork,7810,17.86,0.7697,100.0,-100.0,37284,17.65,0.7592,100.0,-100.0,45094,22606,22488,20.309486849691755
M1,50,2.5,1.5,4.0,newyork,6401,17.2,0.7326,100.0,-100.0,31070,17.68,0.7586,100.0,-100.0,37471,18740,18731,20.043761842491527
M1,50,2.5,1.5,2.0,london,7531,34.1,0.8144,100.0,-100.0,37420,33.16,0.7585,100.0,-100.0,44951,22229,22722,9.04973860425797
M1,20,2.0,1.5,3.0,london,7821,24.32,0.7903,100.0,-100.0,38593,23.9,0.7569,100.0,-100.0,46414,23045,23369,13.049448442280346
M1,50,1.5,1.5,4.0,newyork,9192,17.49,0.7545,100.0,-100.0,42986,17.67,0.7553,100.0,-100.0,52178,26209,25969,20.34145041971712
M1,100,2.0,1.0,4.0,london,7774,20.44,0.7677,100.0,-100.0,38225,20.6,0.7548,100.0,-100.0,45999,22755,23244,8.015498163003544
M1,20,2.5,1.5,4.0,london,4709,19.39,0.8404,99.97,-99.96,23236,18.12,0.7539,100.0,-100.0,27945,13841,14104,16.201105743424584
M1,20,1.5,1.5,2.0,london,11519,34.03,0.8107,100.0,-100.0,57528,33.02,0.7537,100.0,-100.0,69047,34152,34895,9.049951482323635
M1,20,3.0,1.5,3.0,london,2574,24.13,0.7899,99.55,-99.39,12588,23.73,0.7535,100.0,-100.0,15162,7412,7750,11.950929956470123
M1,50,1.5,1.5,3.0,newyork,9192,23.61,0.7367,100.0,-100.0,42986,24.18,0.7527,100.0,-100.0,52178,26209,25969,15.776683659779986
M1,20,1.5,1.5,4.0,newyork,9947,16.7,0.7154,100.0,-100.0,48639,17.64,0.7514,100.0,-100.0,58586,29389,29197,19.996258491789845
M1,50,3.0,1.5,3.0,newyork,4920,22.44,0.6969,100.0,-100.0,24931,24.03,0.7508,100.0,-100.0,29851,14903,14948,15.40221768114971
M1,50,1.5,1.0,4.0,london,10543,20.84,0.7885,100.0,-100.0,51425,20.51,0.7507,100.0,-100.0,61968,30725,31243,8.097918280402787
M1,50,3.0,1.5,4.0,newyork,4920,16.46,0.7076,100.0,-100.0,24931,17.52,0.7487,100.0,-100.0,29851,14903,14948,20.03629024153295
M1,100,2.5,1.5,3.0,newyork,6077,23.7,0.7535,100.0,-100.0,28514,24.01,0.7484,100.0,-100.0,34591,17256,17335,15.764863692868088
M1,100,2.5,1.5,4.0,newyork,6077,17.44,0.7611,100.0,-100.0,28514,17.48,0.7481,100.0,-100.0,34591,17256,17335,20.42972738573617
M1,50,2.0,1.0,4.0,london,9108,20.7,0.7837,100.0,-100.0,44833,20.37,0.745,100.0,-100.0,53941,26806,27135,8.015574423907601
M1,100,3.0,1.5,4.0,newyork,5451,18.07,0.7887,100.0,-100.0,25651,17.48,0.7444,100.0,-100.0,31102,15286,15816,20.277316571281588
M1,20,1.5,1.5,3.0,newyork,9947,22.68,0.7022,100.0,-100.0,48639,23.98,0.7443,100.0,-100.0,58586,29389,29197,15.464172327859899
M1,100,1.5,1.0,4.0,london,8416,19.72,0.734,100.0,-100.0,40564,20.35,0.7436,100.0,-100.0,48980,24246,24734,8.031269906084116
M1,100,2.5,1.0,4.0,london,7103,20.2,0.7578,100.0,-100.0,34890,20.32,0.7432,100.0,-100.0,41993,20655,21338,7.881596932822138
M1,20,2.5,1.5,3.0,london,4709,24.78,0.8151,99.98,-99.97,23236,23.55,0.7416,100.0,-100.0,27945,13841,14104,12.533701914474861
M1,100,3.0,1.5,3.0,newyork,5451,24.38,0.7759,100.0,-100.0,25651,23.77,0.7404,100.0,-100.0,31102,15286,15816,15.65979036717896
M1,100,3.0,1.0,4.0,london,6399,20.69,0.7847,100.0,-100.0,31185,20.19,0.7365,100.0,-100.0,37584,18352,19232,7.814870689655172
M1,50,3.0,1.5,2.0,london,5942,33.59,0.7968,100.0,-100.0,29641,32.42,0.7342,100.0,-100.0,35583,17631,17952,8.866602029058821
M1,20,2.0,1.5,4.0,newyork,6407,16.14,0.6752,100.0,-100.0,32258,17.41,0.734,100.0,-100.0,38665,19351,19314,19.334871330660807
M1,20,2.0,1.5,2.0,london,7821,33.0,0.7747,100.0,-100.0,38593,32.45,0.7338,100.0,-100.0,46414,23045,23369,8.683149480760115
M1,50,1.5,1.0,3.0,london,10543,25.82,0.7626,100.0,-100.0,51425,25.66,0.7329,100.0,-100.0,61968,30725,31243,6.0319455202685255
M1,100,2.5,1.0,3.0,london,7103,24.65,0.7167,100.0,-100.0,34890,25.62,0.7312,100.0,-100.0,41993,20655,21338,5.932341104469792
M1,100,1.5,1.5,2.0,newyork,7142,33.07,0.7347,100.0,-100.0,32692,33.27,0.7293,100.0,-100.0,39834,19906,19928,10.600000000000001
M1,50,2.5,1.0,4.0,london,7531,20.95,0.7991,100.0,-100.0,37420,20.01,0.7291,100.0,-100.0,44951,22229,22722,7.8329848056772935
M1,20,2.0,1.5,3.0,newyork,6407,21.77,0.6609,100.0,-100.0,32258,23.69,0.7286,100.0,-100.0,38665,19351,19314,14.917724039829304
M1,100,3.0,1.0,3.0,london,6399,24.75,0.7246,100.0,-100.0,31185,25.5,0.7265,100.0,-100.0,37584,18352,19232,5.865948275862069
M1,50,2.5,1.5,2.0,newyork,6401,32.15,0.7079,100.0,-100.0,31070,33.17,0.7259,100.0,-100.0,37471,18740,18731,10.297504736996611
M1,100,2.0,1.5,2.0,newyork,6722,33.04,0.7375,100.0,-100.0,30890,33.19,0.7259,100.0,-100.0,37612,18680,18932,10.4714878230352
M1,50,2.0,1.0,3.0,london,9108,25.6,0.7557,100.0,-100.0,44833,25.47,0.7252,100.0,-100.0,53941,26806,27135,5.949344654344562
M1,20,1.5,1.0,4.0,london,11519,21.04,0.8007,100.0,-100.0,57528,19.94,0.7249,100.0,-100.0,69047,34152,34895,7.949951482323636
M1,100,2.0,1.0,3.0,london,7774,25.62,0.754,100.0,-100.0,38225,25.45,0.7236,100.0,-100.0,45999,22755,23244,5.949298897802126
M1,50,3.0,1.5,2.0,newyork,4920,30.93,0.6694,100.0,-100.0,24931,33.14,0.7227,100.0,-100.0,29851,14903,14948,10.084626980670663
M1,20,3.0,1.5,2.0,london,2574,31.93,0.7426,99.68,-99.59,12588,32.01,0.7223,100.0,-100.0,15162,7412,7750,7.900000000000001
M1,50,2.0,1.5,2.0,newyork,7810,32.69,0.724,100.0,-100.0,37284,33.09,0.7223,100.0,-100.0,45094,22606,22488,10.382680622699251
M1,100,1.5,1.0,3.0,london,8416,25.11,0.732,100.0,-100.0,40564,25.37,0.721,100.0,-100.0,48980,24246,24734,5.965634953042057
M1,50,1.5,1.5,2.0,newyork,9192,32.1,0.7022,100.0,-100.0,42986,33.04,0.7209,100.0,-100.0,52178,26209,25969,10.547150139905707
M1,100,3.0,1.5,2.0,newyork,5451,32.38,0.7193,100.0,-100.0,25651,32.97,0.7208,100.0,-100.0,31102,15286,15816,10.34742138769211
M1,20,2.5,1.5,2.0,london,4709,32.83,0.7688,99.99,-99.99,23236,31.97,0.7187,100.0,-100.0,27945,13841,14104,8.38314904276257
M1,50,2.0,1.0,4.0,newyork,7810,19.69,0.696,100.0,-100.0,37284,20.56,0.7182,100.0,-100.0,45094,22606,22488,9.196083736195503
M1,100,2.5,1.5,2.0,newyork,6077,32.37,0.7176,100.0,-100.0,28514,32.84,0.715,100.0,-100.0,34591,17256,17335,10.5
M1,100,1.5,1.0,4.0,newyork,7142,19.8,0.7021,100.0,-100.0,32692,20.42,0.713,100.0,-100.0,39834,19906,19928,9.399999999999999
M1,20,1.5,1.0,3.0,london,11519,26.55,0.7939,100.0,-100.0,57528,25.13,0.7125,100.0,-100.0,69047,34152,34895,5.86663432154909
M1,20,2.5,1.5,4.0,newyork,3652,17.36,0.7181,100.0,-100.0,19374,17.17,0.7125,100.0,-100.0,23026,11591,11435,18.651072700425605
M1,20,2.5,1.5,3.0,newyork,3652,22.62,0.6926,100.0,-100.0,19374,23.43,0.7122,100.0,-100.0,23026,11591,11435,14.346234691218621
M1,20,3.0,1.5,4.0,newyork,1987,18.82,0.7836,99.13,-98.87,10482,17.38,0.7118,100.0,-100.0,12469,6233,6236,17.581289598203544
M1,100,2.0,1.0,4.0,newyork,6722,19.88,0.7081,100.0,-100.0,30890,20.4,0.7116,100.0,-100.0,37612,18680,18932,9.200000000000001
M1,20,2.0,1.0,4.0,london,7821,19.74,0.7398,100.0,-100.0,38593,19.61,0.7101,100.0,-100.0,46414,23045,23369,7.449448442280347
M1,20,1.5,1.5,2.0,newyork,9947,31.1,0.672,100.0,-100.0,48639,32.77,0.7096,100.0,-100.0,58586,29389,29197,10.33208616392995
M1,50,2.5,1.0,3.0,london,7531,26.29,0.7851,100.0,-100.0,37420,25.05,0.7096,100.0,-100.0,44951,22229,22722,5.849738604257969
M1,20,3.0,1.5,3.0,newyork,1987,24.01,0.7502,99.35,-99.17,10482,23.44,0.7086,100.0,-100.0,12469,6233,6236,13.429096158473012
M1,50,2.5,1.0,4.0,newyork,6401,19.4,0.6851,100.0,-100.0,31070,20.31,0.7079,100.0,-100.0,37471,18740,18731,8.980422193162713
M1,50,3.0,1.0,4.0,london,5942,20.9,0.7966,100.0,-100.0,29641,19.51,0.7063,100.0,-100.0,35583,17631,17952,7.549903043588229
M1,100,2.5,1.0,4.0,newyork,6077,19.88,0.7097,100.0,-100.0,28514,20.16,0.7031,100.0,-100.0,34591,17256,17335,9.247295539302131
M1,50,1.5,1.0,4.0,newyork,9192,19.39,0.6811,100.0,-100.0,42986,20.18,0.7015,100.0,-100.0,52178,26209,25969,9.294300279811415
M1,100,3.0,1.0,4.0,newyork,5451,20.03,0.7153,100.0,-100.0,25651,19.99,0.6977,100.0,-100.0,31102,15286,15816,9.17731657128159
M1,50,3.0,1.0,4.0,newyork,4920,18.43,0.6416,100.0,-100.0,24931,20.02,0.6944,100.0,-100.0,29851,14903,14948,8.90221768114971
M1,20,2.0,1.0,3.0,london,7821,24.96,0.7317,100.0,-100.0,38593,24.64,0.6938,100.0,-100.0,46414,23045,23369,5.56629896152023
M1,20,2.0,1.5,2.0,newyork,6407,30.14,0.6419,100.0,-100.0,32258,32.34,0.6921,100.0,-100.0,38665,19351,19314,9.900576748997802
M1,50,2.0,1.0,3.0,newyork,7810,24.81,0.6777,100.0,-100.0,37284,25.68,0.6908,100.0,-100.0,45094,22606,22488,6.748041868097751
M1,20,2.5,1.5,2.0,newyork,3652,30.61,0.659,100.0,-100.0,19374,32.41,0.6897,100.0,-100.0,23026,11591,11435,9.457257013810475
M1,50,1.5,1.0,2.0,london,10543,33.21,0.6927,100.0,-100.0,51425,33.96,0.6896,100.0,-100.0,61968,30725,31243,3.965972760134263
M1,100,1.5,1.0,3.0,newyork,7142,25.51,0.7,100.0,-100.0,32692,25.62,0.6891,100.0,-100.0,39834,19906,19928,6.900000000000001
M1,50,3.0,1.0,3.0,london,5942,25.83,0.7675,100.0,-100.0,29641,24.46,0.6883,100.0,-100.0,35583,17631,17952,5.583301014529409
M1,20,2.5,1.0,4.0,london,4709,19.75,0.7416,100.0,-100.0,23236,19.1,0.688,100.0,-100.0,27945,13841,14104,7.049447128287708
M1,20,3.0,1.0,4.0,london,2574,19.39,0.7323,99.95,-99.94,12588,19.03,0.6872,100.0,-100.0,15162,7412,7750,6.516976652156707
M1,100,2.5,1.0,2.0,london,7103,32.56,0.6726,100.0,-100.0,34890,33.88,0.687,100.0,-100.0,41993,20655,21338,3.8661705522348964
