tf,strategy,fft_n,ratio_thresh,pers_thresh,pers_window,session_label,filter_type,clock_pct,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,train_longs,train_shorts,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,oos_longs,oos_shorts,delta_pf,base_pf,base_dd,base_trades,pf_gain
M1,rsi,64,0.06,0.3,20,asian,fft_clock,5.506413269760258,3371,35.0,1.0791,49.98,300.29,1710,1661,16221,35.34,1.0944,69.81,375493.88,8078,8143,0.0153,1.0833,72.55,17436,0.0111
M1,rsi,64,0.08,0.5,10,asian,fft_clock,4.053186488482977,3421,35.14,1.0858,48.49,371.77,1731,1690,16517,35.32,1.0933,68.27,390919.85,8228,8289,0.0075,1.0833,72.55,17436,0.01
M1,rsi,64,0.06,0.5,10,asian,fft_clock,4.090793096501242,3421,35.14,1.0858,48.49,371.77,1731,1690,16509,35.31,1.093,68.27,375960.17,8223,8286,0.0072,1.0833,72.55,17436,0.0097
M1,rsi,64,0.08,0.3,10,asian,fft_clock,5.248270767577731,3371,35.09,1.0833,50.84,337.79,1708,1663,16275,35.3,1.0923,67.92,312219.24,8106,8169,0.009,1.0833,72.55,17436,0.009
M1,rsi,64,0.1,0.5,10,asian,fft_clock,3.885031226915587,3425,35.12,1.0853,48.49,366.91,1734,1691,16561,35.3,1.0923,69.21,359423.34,8252,8309,0.007,1.0833,72.55,17436,0.009
M1,rsi,64,0.08,0.3,20,asian,fft_clock,5.034987576388422,3390,35.04,1.081,48.98,319.92,1720,1670,16312,35.3,1.0923,70.11,317328.3,8127,8185,0.0113,1.0833,72.55,17436,0.009
M1,rsi,64,0.06,0.3,10,asian,fft_clock,5.368611913236183,3367,35.05,1.0811,51.43,316.71,1706,1661,16254,35.3,1.0921,67.92,303666.47,8093,8161,0.011,1.0833,72.55,17436,0.0088
M1,rsi,64,0.1,0.3,10,asian,fft_clock,4.895843126720838,3381,35.05,1.0817,51.35,324.54,1711,1670,16340,35.29,1.0917,68.88,304094.19,8138,8202,0.01,1.0833,72.55,17436,0.0084
M1,rsi,64,0.1,0.3,20,asian,fft_clock,4.428446712779531,3409,35.02,1.0805,49.5,319.17,1727,1682,16449,35.28,1.0916,71.3,316168.73,8189,8260,0.0111,1.0833,72.55,17436,0.0083
M1,rsi,64,0.06,0.3,10,london,fft_clock,5.368611913236183,3244,35.97,1.1325,47.92,997.83,1621,1623,16723,34.91,1.0808,69.25,113351.43,8391,8332,-0.0517,1.0741,71.93,17917,0.0067
M1,rsi,64,0.08,0.3,10,london,fft_clock,5.248270767577731,3247,35.97,1.1323,48.44,997.51,1622,1625,16746,34.9,1.0805,68.95,110862.01,8402,8344,-0.0518,1.0741,71.93,17917,0.0064
M1,rsi,64,0.1,0.3,10,london,fft_clock,4.895843126720838,3257,35.98,1.1329,47.53,1018.46,1630,1627,16818,34.87,1.0792,68.97,99655.64,8434,8384,-0.0537,1.0741,71.93,17917,0.0051
M1,rsi,64,0.06,0.5,10,london,fft_clock,4.090793096501242,3299,35.77,1.1222,49.61,831.14,1647,1652,16991,34.87,1.079,67.43,105029.54,8521,8470,-0.0432,1.0741,71.93,17917,0.0049
M1,rsi,64,0.08,0.5,10,london,fft_clock,4.053186488482977,3300,35.76,1.1217,49.61,821.83,1648,1652,16997,34.87,1.079,67.43,104966.89,8523,8474,-0.0427,1.0741,71.93,17917,0.0049
M1,rsi,64,0.06,0.3,10,all,fft_clock,5.368611913236183,9395,34.97,1.0815,68.94,5337.15,4575,4820,45873,35.37,1.1003,63.29,6534032260785.86,22799,23074,0.0188,1.0956,60.12,49092,0.0047
M1,rsi,64,0.06,0.5,10,all,fft_clock,4.090793096501242,9551,34.95,1.0808,66.45,5471.48,4647,4904,46576,35.37,1.1001,61.45,8896145454389.09,23149,23427,0.0193,1.0956,60.12,49092,0.0045
M1,rsi,64,0.08,0.3,10,all,fft_clock,5.248270767577731,9407,34.97,1.0819,69.26,5495.24,4579,4828,45933,35.37,1.1001,63.29,6304164200005.63,22834,23099,0.0182,1.0956,60.12,49092,0.0045
M1,rsi,64,0.1,0.5,20,asian,fft_clock,2.966624135383789,3476,34.87,1.073,51.9,265.86,1757,1719,16761,35.21,1.0878,71.89,248693.92,8359,8402,0.0148,1.0833,72.55,17436,0.0045
M1,rsi,64,0.08,0.5,10,all,fft_clock,4.053186488482977,9555,34.93,1.0801,67.45,5251.94,4648,4907,46600,35.36,1.0999,61.45,8613930940497.91,23164,23436,0.0198,1.0956,60.12,49092,0.0043
M1,rsi,64,0.08,0.5,20,asian,fft_clock,3.297293667315828,3466,34.85,1.0719,51.41,255.42,1754,1712,16687,35.2,1.0876,70.74,233665.8,8326,8361,0.0157,1.0833,72.55,17436,0.0043
M1,rsi,64,0.1,0.5,10,london,fft_clock,3.885031226915587,3306,35.75,1.1214,49.61,821.28,1652,1654,17036,34.86,1.0783,67.44,98494.62,8540,8496,-0.0431,1.0741,71.93,17917,0.0042
M1,rsi,64,0.1,0.3,10,all,fft_clock,4.895843126720838,9435,34.97,1.0816,68.35,5480.25,4594,4841,46111,35.36,1.0997,64.38,6134162073448.95,22920,23191,0.0181,1.0956,60.12,49092,0.0041
M1,rsi,64,0.1,0.5,10,all,fft_clock,3.885031226915587,9565,34.92,1.0793,67.77,5037.99,4655,4910,46703,35.36,1.0996,62.6,8276285828801.42,23219,23484,0.0203,1.0956,60.12,49092,0.004
M1,rsi,64,0.06,0.3,20,all,fft_clock,5.506413269760258,9435,34.85,1.0759,66.72,3878.09,4589,4846,45837,35.35,1.0994,65.08,4962322014441.99,22777,23060,0.0235,1.0956,60.12,49092,0.0038
M1,rsi,64,0.06,0.5,20,asian,fft_clock,3.4944597407830233,3458,34.85,1.0716,51.41,252.18,1750,1708,16646,35.19,1.0871,70.74,218826.51,8302,8344,0.0155,1.0833,72.55,17436,0.0038
M1,rsi,64,0.06,0.3,20,london,fft_clock,5.506413269760258,3268,35.71,1.1194,48.61,762.54,1631,1637,16689,34.84,1.0776,71.56,79452.55,8374,8315,-0.0418,1.0741,71.93,17917,0.0035
M1,rsi,64,0.08,0.3,20,all,fft_clock,5.034987576388422,9480,34.86,1.0765,66.74,4104.0,4613,4867,46071,35.34,1.0989,64.73,4848291210900.26,22903,23168,0.0224,1.0956,60.12,49092,0.0033
M1,rsi,0,0.0,0.0,0,newyork,time_clock,1.6700020146397154,3197,35.75,1.1222,49.18,768.74,1488,1709,15377,35.93,1.1319,53.63,8067022.39,7494,7883,0.0097,1.1287,54.52,15870,0.0032
M1,rsi,64,0.08,0.3,20,london,fft_clock,5.034987576388422,3279,35.68,1.118,48.61,744.62,1639,1640,16779,34.84,1.0771,70.73,78744.41,8416,8363,-0.0409,1.0741,71.93,17917,0.003
M1,rsi,64,0.06,0.5,20,all,fft_clock,3.4944597407830233,9666,34.87,1.077,69.38,4550.47,4705,4961,46989,35.33,1.0984,61.54,6793814964833.68,23391,23598,0.0214,1.0956,60.12,49092,0.0028
M1,rsi,64,0.1,0.3,20,all,fft_clock,4.428446712779531,9533,34.87,1.0769,68.38,4295.69,4641,4892,46426,35.33,1.0982,64.77,4824022300807.14,23077,23349,0.0213,1.0956,60.12,49092,0.0026
M1,rsi,64,0.08,0.5,20,all,fft_clock,3.297293667315828,9688,34.86,1.0762,70.29,4359.25,4720,4968,47096,35.32,1.098,60.82,6395709948454.01,23450,23646,0.0218,1.0956,60.12,49092,0.0024
M1,derivative,64,0.06,0.3,20,asian,fft_clock,5.506413269760258,22577,26.12,1.0656,96.64,173969.39,11281,11296,110810,25.63,1.039,97.49,461495316.45,55349,55461,-0.0266,1.0368,98.32,118116,0.0022
M1,rsi,64,0.1,0.5,20,all,fft_clock,2.966624135383789,9712,34.87,1.0771,70.3,4670.02,4730,4982,47278,35.31,1.0977,61.56,6472728553856.24,23531,23747,0.0206,1.0956,60.12,49092,0.0021
M1,derivative,64,0.08,0.3,20,asian,fft_clock,5.034987576388422,22671,26.12,1.0652,96.82,168197.39,11328,11343,111477,25.62,1.0389,97.2,461962985.79,55685,55792,-0.0263,1.0368,98.32,118116,0.0021
M1,rsi,64,0.06,0.5,20,london,fft_clock,3.4944597407830233,3339,35.7,1.1187,50.43,791.26,1664,1675,17135,34.81,1.0761,76.58,81519.11,8614,8521,-0.0426,1.0741,71.93,17917,0.002
M1,rsi,64,0.08,0.5,20,london,fft_clock,3.297293667315828,3346,35.65,1.1165,50.93,755.89,1671,1675,17177,34.8,1.0757,76.36,78788.69,8636,8541,-0.0408,1.0741,71.93,17917,0.0016
M1,derivative,64,0.08,0.3,10,asian,fft_clock,5.248270767577731,22650,26.15,1.0672,97.11,229447.19,11323,11327,111248,25.61,1.0381,97.8,229562448.02,55585,55663,-0.0291,1.0368,98.32,118116,0.0013
M1,derivative,64,0.1,0.3,20,asian,fft_clock,4.428446712779531,22830,26.11,1.0652,97.36,174370.25,11404,11426,112299,25.6,1.038,97.3,244777125.2,56094,56205,-0.0272,1.0368,98.32,118116,0.0012
M1,derivative,64,0.06,0.3,10,asian,fft_clock,5.368611913236183,22626,26.15,1.0673,97.17,230264.27,11311,11315,111086,25.61,1.038,97.9,217162301.87,55507,55579,-0.0293,1.0368,98.32,118116,0.0012
M1,derivative,64,0.1,0.3,10,asian,fft_clock,4.895843126720838,22731,26.14,1.0664,97.42,207371.9,11365,11366,111684,25.6,1.0377,98.01,180343612.66,55805,55879,-0.0287,1.0368,98.32,118116,0.0009
M1,derivative,0,0.0,0.0,0,london,time_clock,1.6700020146397154,26569,24.7,1.0056,99.8,-93.8,13316,13253,125167,24.98,1.0227,99.93,1001.06,62628,62539,0.0171,1.0218,99.93,127960,0.0009
M1,derivative,64,0.1,0.5,10,asian,fft_clock,3.885031226915587,22982,26.08,1.0633,97.78,135762.85,11486,11496,112990,25.6,1.0376,97.49,194340336.22,56445,56545,-0.0257,1.0368,98.32,118116,0.0008
