tf,filter_mode,fft_n,delta,min_period,pwr_thresh,ema_period,sl_atr_mult,rr,session_label,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,train_longs,train_shorts,trade_reduction_pct,regime_pct,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,oos_longs,oos_shorts,delta_pf,base_pf,base_dd,base_trades,pf_gain,dd_gain,statistically_valid
M15,fft_cycle_only,128,0.03,10,0.12,10,1.0,2.0,newyork,0,0.0,0.0,0.0,0.0,0,0,100.0,61.2,1,100.0,inf,0.0,2.0,0,1,inf,0.9108,99.74,7977,inf,99.74,False
M15,full_confluence,128,0.03,10,0.12,10,1.0,2.0,newyork,0,0.0,0.0,0.0,0.0,0,0,100.0,61.2,1,100.0,inf,0.0,2.0,0,1,inf,0.9108,99.74,7977,inf,99.74,False
M15,fft_cycle_only,128,0.05,10,0.12,10,1.0,2.0,newyork,0,0.0,0.0,0.0,0.0,0,0,100.0,55.8,1,100.0,inf,0.0,2.0,0,1,inf,0.9108,99.74,7977,inf,99.74,False
M15,full_confluence,128,0.05,10,0.12,10,1.0,2.0,newyork,0,0.0,0.0,0.0,0.0,0,0,100.0,55.8,1,100.0,inf,0.0,2.0,0,1,inf,0.9108,99.74,7977,inf,99.74,False
M15,fft_cycle_only,128,0.08,10,0.12,10,1.0,2.0,newyork,0,0.0,0.0,0.0,0.0,0,0,100.0,49.2,1,100.0,inf,0.0,2.0,0,1,inf,0.9108,99.74,7977,inf,99.74,False
M15,full_confluence,128,0.08,10,0.12,10,1.0,2.0,newyork,0,0.0,0.0,0.0,0.0,0,0,100.0,49.2,1,100.0,inf,0.0,2.0,0,1,inf,0.9108,99.74,7977,inf,99.74,False
M15,fft_cycle_only,128,0.03,10,0.12,10,1.0,3.0,newyork,0,0.0,0.0,0.0,0.0,0,0,100.0,61.2,1,100.0,inf,0.0,3.0,0,1,inf,0.8953,99.97,7977,inf,99.97,False
M15,full_confluence,128,0.03,10,0.12,10,1.0,3.0,newyork,0,0.0,0.0,0.0,0.0,0,0,100.0,61.2,1,100.0,inf,0.0,3.0,0,1,inf,0.8953,99.97,7977,inf,99.97,False
M15,fft_cycle_only,128,0.05,10,0.12,10,1.0,3.0,newyork,0,0.0,0.0,0.0,0.0,0,0,100.0,55.8,1,100.0,inf,0.0,3.0,0,1,inf,0.8953,99.97,7977,inf,99.97,False
M15,full_confluence,128,0.05,10,0.12,10,1.0,3.0,newyork,0,0.0,0.0,0.0,0.0,0,0,100.0,55.8,1,100.0,inf,0.0,3.0,0,1,inf,0.8953,99.97,7977,inf,99.97,False
M15,fft_cycle_only,128,0.08,10,0.12,10,1.0,3.0,newyork,0,0.0,0.0,0.0,0.0,0,0,100.0,49.2,1,100.0,inf,0.0,3.0,0,1,inf,0.8953,99.97,7977,inf,99.97,False
M15,full_confluence,128,0.08,10,0.12,10,1.0,3.0,newyork,0,0.0,0.0,0.0,0.0,0,0,100.0,49.2,1,100.0,inf,0.0,3.0,0,1,inf,0.8953,99.97,7977,inf,99.97,False
M15,fft_cycle_only,128,0.03,10,0.12,10,1.5,2.0,newyork,0,0.0,0.0,0.0,0.0,0,0,100.0,61.2,1,100.0,inf,0.0,2.0,0,1,inf,0.9111,99.73,7977,inf,99.73,False
M15,full_confluence,128,0.03,10,0.12,10,1.5,2.0,newyork,0,0.0,0.0,0.0,0.0,0,0,100.0,61.2,1,100.0,inf,0.0,2.0,0,1,inf,0.9111,99.73,7977,inf,99.73,False
M15,fft_cycle_only,128,0.05,10,0.12,10,1.5,2.0,newyork,0,0.0,0.0,0.0,0.0,0,0,100.0,55.8,1,100.0,inf,0.0,2.0,0,1,inf,0.9111,99.73,7977,inf,99.73,False
M15,full_confluence,128,0.05,10,0.12,10,1.5,2.0,newyork,0,0.0,0.0,0.0,0.0,0,0,100.0,55.8,1,100.0,inf,0.0,2.0,0,1,inf,0.9111,99.73,7977,inf,99.73,False
M15,fft_cycle_only,128,0.08,10,0.12,10,1.5,2.0,newyork,0,0.0,0.0,0.0,0.0,0,0,100.0,49.2,1,100.0,inf,0.0,2.0,0,1,inf,0.9111,99.73,7977,inf,99.73,False
M15,full_confluence,128,0.08,10,0.12,10,1.5,2.0,newyork,0,0.0,0.0,0.0,0.0,0,0,100.0,49.2,1,100.0,inf,0.0,2.0,0,1,inf,0.9111,99.73,7977,inf,99.73,False
M5,fft_cycle_only,128,0.03,10,0.12,10,1.5,4.0,newyork,0,0.0,0.0,0.0,0.0,0,0,100.0,62.6,13,38.46,2.5,5.85,12.27,5,8,2.5,0.9018,100.0,24295,1.5982,94.15,False
M5,full_confluence,128,0.03,10,0.12,10,1.5,4.0,newyork,0,0.0,0.0,0.0,0.0,0,0,100.0,62.6,13,38.46,2.5,5.85,12.27,5,8,2.5,0.9018,100.0,24295,1.5982,94.15,False
M5,fft_cycle_only,128,0.05,10,0.12,10,1.5,4.0,newyork,0,0.0,0.0,0.0,0.0,0,0,100.0,58.6,13,38.46,2.5,5.85,12.27,5,8,2.5,0.9018,100.0,24295,1.5982,94.15,False
M5,full_confluence,128,0.05,10,0.12,10,1.5,4.0,newyork,0,0.0,0.0,0.0,0.0,0,0,100.0,58.6,13,38.46,2.5,5.85,12.27,5,8,2.5,0.9018,100.0,24295,1.5982,94.15,False
M5,fft_cycle_only,128,0.08,10,0.12,10,1.5,4.0,newyork,0,0.0,0.0,0.0,0.0,0,0,100.0,52.1,13,38.46,2.5,5.85,12.27,5,8,2.5,0.9018,100.0,24295,1.5982,94.15,False
M5,full_confluence,128,0.08,10,0.12,10,1.5,4.0,newyork,0,0.0,0.0,0.0,0.0,0,0,100.0,52.1,13,38.46,2.5,5.85,12.27,5,8,2.5,0.9018,100.0,24295,1.5982,94.15,False
M5,full_confluence,128,0.03,10,0.12,10,1.5,3.0,asian,0,0.0,0.0,0.0,0.0,0,0,100.0,62.6,9,44.44,2.4,1.0,7.03,3,6,2.4,1.0217,94.97,24504,1.3783,93.97,False
M5,full_confluence,128,0.05,10,0.12,10,1.5,3.0,asian,0,0.0,0.0,0.0,0.0,0,0,100.0,58.6,9,44.44,2.4,1.0,7.03,3,6,2.4,1.0217,94.97,24504,1.3783,93.97,False
M5,full_confluence,128,0.08,10,0.12,10,1.5,3.0,asian,0,0.0,0.0,0.0,0.0,0,0,100.0,52.1,9,44.44,2.4,1.0,7.03,3,6,2.4,1.0217,94.97,24504,1.3783,93.97,False
M15,full_confluence,128,0.05,10,0.08,20,1.0,2.0,london,2,0.0,0.0,1.99,-1.99,1,1,99.6,55.8,49,51.02,2.0833,5.88,28.9,21,28,2.0833,0.9816,88.14,5754,1.1017,82.26,True
M15,full_confluence,128,0.08,10,0.08,20,1.0,2.0,london,2,0.0,0.0,1.99,-1.99,1,1,99.7,49.2,49,51.02,2.0833,5.88,28.9,21,28,2.0833,0.9816,88.14,5754,1.1017,82.26,True
M15,full_confluence,128,0.03,10,0.08,20,1.0,2.0,london,2,0.0,0.0,1.99,-1.99,1,1,99.6,61.2,51,50.98,2.08,5.88,30.16,23,28,2.08,0.9816,88.14,5754,1.0984,82.26,True
M15,full_confluence,128,0.05,10,0.08,20,1.0,3.0,london,2,0.0,0.0,1.99,-1.99,1,1,99.6,55.8,49,40.82,2.069,4.96,34.95,21,28,2.069,0.9653,95.57,5754,1.1037,90.61,True
M15,full_confluence,128,0.08,10,0.08,20,1.0,3.0,london,2,0.0,0.0,1.99,-1.99,1,1,99.7,49.2,49,40.82,2.069,4.96,34.95,21,28,2.069,0.9653,95.57,5754,1.1037,90.61,True
M5,full_confluence,128,0.03,10,0.12,10,1.5,4.0,asian,0,0.0,0.0,0.0,0.0,0,0,100.0,62.6,9,33.33,2.0,2.97,5.9,3,6,2.0,1.0223,97.95,24504,0.9777,94.98,False
M5,full_confluence,128,0.05,10,0.12,10,1.5,4.0,asian,0,0.0,0.0,0.0,0.0,0,0,100.0,58.6,9,33.33,2.0,2.97,5.9,3,6,2.0,1.0223,97.95,24504,0.9777,94.98,False
M5,full_confluence,128,0.08,10,0.12,10,1.5,4.0,asian,0,0.0,0.0,0.0,0.0,0,0,100.0,52.1,9,33.33,2.0,2.97,5.9,3,6,2.0,1.0223,97.95,24504,0.9777,94.98,False
M5,fft_cycle_only,128,0.03,10,0.12,20,1.5,4.0,newyork,0,0.0,0.0,0.0,0.0,0,0,100.0,62.6,15,33.33,2.0,6.79,10.03,5,10,2.0,0.8598,100.0,17461,1.1402,93.21,False
M5,full_confluence,128,0.03,10,0.12,20,1.5,4.0,newyork,0,0.0,0.0,0.0,0.0,0,0,100.0,62.6,15,33.33,2.0,6.79,10.03,5,10,2.0,0.8598,100.0,17461,1.1402,93.21,False
M5,fft_cycle_only,128,0.05,10,0.12,20,1.5,4.0,newyork,0,0.0,0.0,0.0,0.0,0,0,100.0,58.6,15,33.33,2.0,6.79,10.03,5,10,2.0,0.8598,100.0,17461,1.1402,93.21,False
M5,full_confluence,128,0.05,10,0.12,20,1.5,4.0,newyork,0,0.0,0.0,0.0,0.0,0,0,100.0,58.6,15,33.33,2.0,6.79,10.03,5,10,2.0,0.8598,100.0,17461,1.1402,93.21,False
M5,fft_cycle_only,128,0.08,10,0.12,20,1.5,4.0,newyork,0,0.0,0.0,0.0,0.0,0,0,100.0,52.1,15,33.33,2.0,6.79,10.03,5,10,2.0,0.8598,100.0,17461,1.1402,93.21,False
M5,full_confluence,128,0.08,10,0.12,20,1.5,4.0,newyork,0,0.0,0.0,0.0,0.0,0,0,100.0,52.1,15,33.33,2.0,6.79,10.03,5,10,2.0,0.8598,100.0,17461,1.1402,93.21,False
M15,full_confluence,128,0.03,10,0.08,20,1.0,3.0,london,2,0.0,0.0,1.99,-1.99,1,1,99.6,61.2,51,39.22,1.9355,4.96,32.26,23,28,1.9355,0.9653,95.57,5754,0.9702,90.61,True
M15,fft_cycle_only,128,0.03,10,0.08,20,1.0,2.0,london,2,0.0,0.0,1.99,-1.99,1,1,99.6,61.2,59,49.15,1.9333,5.88,31.36,28,31,1.9333,0.9816,88.14,5754,0.9517,82.26,True
M15,fft_cycle_only,128,0.05,10,0.08,20,1.0,2.0,london,2,0.0,0.0,1.99,-1.99,1,1,99.6,55.8,59,49.15,1.9333,5.88,31.36,28,31,1.9333,0.9816,88.14,5754,0.9517,82.26,True
M15,fft_cycle_only,128,0.08,10,0.08,20,1.0,2.0,london,2,0.0,0.0,1.99,-1.99,1,1,99.7,49.2,59,49.15,1.9333,5.88,31.36,28,31,1.9333,0.9816,88.14,5754,0.9517,82.26,True
M5,fft_cycle_only,128,0.03,5,0.12,10,1.5,4.0,newyork,3,0.0,0.0,2.97,-2.97,2,1,99.9,62.6,25,32.0,1.8824,4.03,15.36,11,14,1.8824,0.9018,100.0,24295,0.9806,95.97,False
M5,full_confluence,128,0.03,5,0.12,10,1.5,4.0,newyork,3,0.0,0.0,2.97,-2.97,2,1,99.9,62.6,25,32.0,1.8824,4.03,15.36,11,14,1.8824,0.9018,100.0,24295,0.9806,95.97,False
M5,fft_cycle_only,128,0.05,5,0.12,10,1.5,4.0,newyork,3,0.0,0.0,2.97,-2.97,2,1,99.9,58.6,25,32.0,1.8824,4.03,15.36,11,14,1.8824,0.9018,100.0,24295,0.9806,95.97,False
M5,full_confluence,128,0.05,5,0.12,10,1.5,4.0,newyork,3,0.0,0.0,2.97,-2.97,2,1,99.9,58.6,25,32.0,1.8824,4.03,15.36,11,14,1.8824,0.9018,100.0,24295,0.9806,95.97,False
M5,fft_cycle_only,128,0.08,5,0.12,10,1.5,4.0,newyork,3,0.0,0.0,2.97,-2.97,2,1,99.9,52.1,25,32.0,1.8824,4.03,15.36,11,14,1.8824,0.9018,100.0,24295,0.9806,95.97,False
M5,full_confluence,128,0.08,5,0.12,10,1.5,4.0,newyork,3,0.0,0.0,2.97,-2.97,2,1,99.9,52.1,25,32.0,1.8824,4.03,15.36,11,14,1.8824,0.9018,100.0,24295,0.9806,95.97,False
M5,fft_cycle_only,128,0.03,10,0.12,10,1.5,3.0,newyork,0,0.0,0.0,0.0,0.0,0,0,100.0,62.6,13,38.46,1.875,5.85,6.97,5,8,1.875,0.9055,100.0,24295,0.9695,94.15,False
