tf,filter_mode,fft_n,delta,min_period,pwr_thresh,ema_period,sl_atr_mult,rr,session_label,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,train_longs,train_shorts,trade_reduction_pct,regime_pct,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,oos_longs,oos_shorts,delta_pf,base_pf,base_dd,base_trades,pf_gain,dd_gain,statistically_valid
M5,full_confluence,128,0.05,5,0.12,10,1.5,4.0,london,1,100.0,inf,0.0,3.93,0,1,99.9,58.6,51,31.37,1.6414,7.34,25.85,25,26,-inf,0.9265,100.0,26794,0.7149,92.66,True
M5,full_confluence,128,0.08,5,0.12,10,1.5,4.0,london,1,100.0,inf,0.0,3.93,0,1,99.9,52.1,51,31.37,1.6414,7.34,25.85,25,26,-inf,0.9265,100.0,26794,0.7149,92.66,True
M5,full_confluence,128,0.05,5,0.12,10,1.5,4.0,newyork,2,50.0,3.6829,1.07,2.82,1,1,99.9,58.6,33,30.3,1.5731,8.26,14.29,13,20,-2.1098,0.8775,100.0,22571,0.6956,91.74,True
M5,full_confluence,128,0.08,5,0.12,10,1.5,4.0,newyork,2,50.0,3.6829,1.07,2.82,1,1,99.9,52.1,33,30.3,1.5731,8.26,14.29,13,20,-2.1098,0.8775,100.0,22571,0.6956,91.74,True
M5,full_confluence,128,0.03,5,0.12,10,1.5,4.0,london,1,100.0,inf,0.0,3.93,0,1,99.9,62.6,53,30.19,1.5532,7.34,23.15,26,27,-inf,0.9265,100.0,26794,0.6267,92.66,True
M5,full_confluence,128,0.08,3,0.12,10,1.5,4.0,london,10,10.0,0.4037,8.24,-5.75,4,6,99.9,52.1,77,29.87,1.5503,14.49,34.84,37,40,1.1466,0.9265,100.0,26794,0.6238,85.51,True
M5,full_confluence,128,0.05,5,0.12,10,1.5,3.0,newyork,2,50.0,2.7447,1.07,1.83,1,1,99.9,58.6,33,36.36,1.5379,8.61,12.31,13,20,-1.2068,0.8824,100.0,22571,0.6555,91.39,True
M5,full_confluence,128,0.08,5,0.12,10,1.5,3.0,newyork,2,50.0,2.7447,1.07,1.83,1,1,99.9,52.1,33,36.36,1.5379,8.61,12.31,13,20,-1.2068,0.8824,100.0,22571,0.6555,91.39,True
M5,full_confluence,128,0.05,5,0.12,10,1.0,4.0,newyork,2,50.0,3.5386,1.1,2.75,1,1,99.9,58.6,33,30.3,1.4967,8.13,12.72,13,20,-2.0419,0.8453,100.0,22571,0.6514,91.87,True
M5,full_confluence,128,0.08,5,0.12,10,1.0,4.0,newyork,2,50.0,3.5386,1.1,2.75,1,1,99.9,52.1,33,30.3,1.4967,8.13,12.72,13,20,-2.0419,0.8453,100.0,22571,0.6514,91.87,True
M5,full_confluence,128,0.05,3,0.12,10,1.0,4.0,newyork,2,50.0,3.5386,1.1,2.75,1,1,99.9,58.6,57,29.82,1.4726,14.63,21.79,23,34,-2.066,0.8453,100.0,22571,0.6273,85.37,True
M5,full_confluence,128,0.08,3,0.12,10,1.0,4.0,newyork,2,50.0,3.5386,1.1,2.75,1,1,99.9,52.1,57,29.82,1.4726,14.63,21.79,23,34,-2.066,0.8453,100.0,22571,0.6273,85.37,True
M5,full_confluence,128,0.05,3,0.12,10,1.5,4.0,london,10,10.0,0.4037,8.24,-5.75,4,6,99.9,58.6,80,28.75,1.4683,16.66,30.52,39,41,1.0646,0.9265,100.0,26794,0.5418,83.34,True
M5,full_confluence,128,0.05,5,0.12,10,1.5,3.0,london,1,100.0,inf,0.0,2.93,0,1,99.9,58.6,51,35.29,1.4572,7.34,16.71,25,26,-inf,0.9156,100.0,26794,0.5416,92.66,True
M5,full_confluence,128,0.08,5,0.12,10,1.5,3.0,london,1,100.0,inf,0.0,2.93,0,1,99.9,52.1,51,35.29,1.4572,7.34,16.71,25,26,-inf,0.9156,100.0,26794,0.5416,92.66,True
