tf,smooth_period,d1_period,d2_period,d1_threshold,d2_threshold,sl_atr_mult,rr,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,total_trades,total_longs,total_shorts,avg_bars
M15,5,2,2,0.05,0.0,1.0,3.0,0,0.0,0.0,0.0,0.0,6,16.666666666666664,0.3398694531902659,6.380061275996093,-5.552755068692261,6,2,4,10.0
M15,5,2,2,0.05,0.0,1.0,2.0,0,0.0,0.0,0.0,0.0,6,16.666666666666664,0.22712145379655765,6.485637244460217,-6.485637244460218,6,2,4,9.333333333333334
M1,5,2,2,0.05,0.0,1.0,2.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0
M1,5,2,2,0.05,0.0,1.0,3.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0
M1,5,2,2,0.1,0.0,1.0,2.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0
M1,5,2,2,0.1,0.0,1.0,3.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0
M5,5,2,2,0.05,0.0,1.0,2.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0
M5,5,2,2,0.05,0.0,1.0,3.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0
M5,5,2,2,0.1,0.0,1.0,2.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0
M5,5,2,2,0.1,0.0,1.0,3.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0
M15,5,2,2,0.1,0.0,1.0,2.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0
M15,5,2,2,0.1,0.0,1.0,3.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0
