tf,fft_window,low_pct,high_pct,min_period,sl_atr_mult,rr,session_label,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,total_trades,total_longs,total_shorts,avg_bars
M15,256,0.1,0.2,10,1.0,2.0,london,217,30.88,0.8933,18.17,-16.54,971,36.97,1.1732,16.13,160.74,1188,589,599,11.154797979797982
M15,256,0.1,0.2,10,1.0,3.0,london,217,24.42,0.9695,22.27,-7.84,971,27.91,1.1614,33.42,165.17,1188,589,599,16.363468013468008
M15,256,0.1,0.3,10,1.0,2.0,london,250,33.2,0.994,10.63,-3.42,1164,36.25,1.1375,19.63,145.8,1414,704,710,11.335360678925037
M15,128,0.05,0.2,10,1.5,2.0,asian,212,33.96,1.0286,12.9,1.89,1004,36.06,1.1277,23.77,104.67,1216,600,616,6.034868421052631
M15,128,0.05,0.2,10,1.0,3.0,asian,212,24.53,0.975,20.64,-6.85,1004,27.29,1.126,25.68,114.33,1216,600,616,4.034868421052631
M15,256,0.1,0.2,10,1.5,2.0,london,217,35.02,1.078,9.75,9.19,971,35.94,1.1222,22.69,93.44,1188,589,599,23.608670033670034
M15,128,0.1,0.3,10,1.0,4.0,asian,237,17.3,0.8367,30.36,-30.36,1106,21.88,1.1204,41.33,124.32,1343,660,683,5.235294117647059
M15,128,0.05,0.3,10,1.0,3.0,asian,269,24.91,0.995,23.81,-4.85,1237,27.16,1.1188,30.03,140.22,1506,738,768,4.135723771580345
M15,128,0.05,0.2,10,1.0,4.0,asian,212,20.75,1.0476,21.18,3.8,1004,21.81,1.1159,29.47,101.34,1216,600,616,5.62203947368421
M15,256,0.05,0.2,10,1.0,2.0,london,246,30.49,0.8772,28.17,-20.82,1104,35.78,1.1142,21.2,100.64,1350,669,681,11.181777777777777
M15,128,0.05,0.3,10,1.0,4.0,asian,269,20.07,1.0047,27.25,-4.2,1237,21.75,1.1116,32.81,127.42,1506,738,768,5.660756972111554
M15,256,0.1,0.2,10,1.0,4.0,london,217,17.05,0.8222,35.82,-30.09,971,21.73,1.1105,41.93,89.14,1188,589,599,20.11734006734007
M1,64,0.1,0.3,10,1.0,3.0,newyork,4396,26.48,1.0814,52.56,605.62,22047,26.96,1.1105,63.88,163839355.13,26443,13220,13223,7.266751125061454
M1,64,0.1,0.2,5,1.0,3.0,newyork,14117,26.73,1.0955,72.32,217510.27,69720,26.93,1.1088,65.98,1.9935017435924136e+21,83837,41952,41885,7.2
M1,64,0.1,0.2,10,1.0,3.0,newyork,3795,26.69,1.094,59.1,656.27,19170,26.92,1.1081,57.97,18529055.26,22965,11503,11462,7.28347485303723
M1,64,0.1,0.3,5,1.0,3.0,newyork,16369,26.67,1.0923,81.96,511815.96,80374,26.89,1.1066,71.76,4.956384570488585e+23,96743,48401,48342,7.216920087241454
M1,64,0.1,0.3,10,1.0,2.0,newyork,4396,35.92,1.1211,29.41,1823.16,22047,35.56,1.1044,54.18,28712655.7,26443,13220,13223,4.866751125061453
M15,128,0.05,0.3,10,1.0,2.0,asian,269,32.34,0.956,20.46,-10.09,1237,35.57,1.1041,27.56,101.99,1506,738,768,2.8821381142098272
M1,64,0.1,0.2,10,1.0,2.0,newyork,3795,36.34,1.1425,25.86,2003.76,19170,35.56,1.1041,46.75,5325750.68,22965,11503,11462,4.883474853037231
