tf,fp,tol,lb,rr,session_label,filter_mode,fft_n,delta,min_period,fft_pct,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,train_longs,train_shorts,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,oos_longs,oos_shorts,delta_pf,base_pf,base_dd,base_trades,pf_gain,dd_gain,valid
M1,5,0.3,30,2.0,newyork,baseline,0,0.0,0,0.0,15401,26.5,0.9341,99.98,-99.91,7350,8051,72753,28.61,1.0296,98.53,33516.41,35151,37602,0.0955,1.0296,98.53,72753,0.0,0.0,True
M1,5,0.3,30,2.0,newyork,full_confl,64,0.05,5,50.0,2089,24.99,0.8481,90.59,-86.93,982,1107,9865,28.73,1.0198,78.37,29.81,4977,4888,0.1717,1.0296,98.53,72753,-0.0098,20.16,True
M1,5,0.5,30,2.0,newyork,baseline,0,0.0,0,0.0,24217,26.94,0.9599,99.99,-99.94,11612,12605,114186,28.28,1.0187,99.64,862.35,55180,59006,0.0588,1.0187,99.64,114186,0.0,0.0,True
M1,5,0.3,30,2.0,newyork,full_confl,64,0.03,5,53.2,2179,24.97,0.8441,92.31,-88.72,1034,1145,10426,28.63,1.015,81.56,-0.52,5257,5169,0.1709,1.0296,98.53,72753,-0.0146,16.97,True
M1,5,1.0,30,2.0,newyork,full_confl,64,0.05,5,50.0,6281,27.19,0.9633,95.54,-83.73,2996,3285,29700,28.2,1.0078,99.63,-69.87,14765,14935,0.0445,1.0078,100.0,220033,0.0,0.37,True
M1,5,1.0,30,2.0,newyork,baseline,0,0.0,0,0.0,46511,26.77,0.9597,100.0,-100.0,22355,24156,220033,28.0,1.0078,100.0,-99.98,106271,113762,0.0481,1.0078,100.0,220033,0.0,0.0,True
M1,5,1.0,30,2.0,newyork,full_confl,64,0.03,5,53.2,6587,27.28,0.9646,96.09,-84.47,3146,3441,31296,28.17,1.0073,99.73,-73.84,15537,15759,0.0427,1.0078,100.0,220033,-0.0005,0.27,True
M1,5,0.3,70,2.0,asian,fft_cycle,64,0.03,5,53.2,5754,29.02,0.9721,88.31,-76.84,2853,2901,28328,29.79,1.0034,96.7,-85.52,14221,14107,0.0313,0.9799,100.0,127536,0.0235,3.3,True
M1,5,0.3,70,2.0,asian,fft_cycle,64,0.05,5,50.0,5754,29.02,0.9721,88.31,-76.84,2853,2901,28328,29.79,1.0034,96.7,-85.52,14221,14107,0.0313,0.9799,100.0,127536,0.0235,3.3,True
M1,5,0.5,30,2.0,newyork,full_confl,64,0.05,5,50.0,3276,26.25,0.9159,90.52,-84.19,1547,1729,15452,28.25,1.0014,94.34,-69.28,7775,7677,0.0855,1.0187,99.64,114186,-0.0173,5.3,True
M1,5,1.0,30,2.0,newyork,fft_cycle,64,0.03,5,53.2,9520,27.36,0.9746,98.54,-88.27,4584,4936,45879,27.98,1.0006,99.99,-97.47,22730,23149,0.026,1.0078,100.0,220033,-0.0072,0.01,True
M1,5,1.0,30,2.0,newyork,fft_cycle,64,0.05,5,50.0,9520,27.36,0.9746,98.54,-88.27,4584,4936,45879,27.98,1.0006,99.99,-97.47,22730,23149,0.026,1.0078,100.0,220033,-0.0072,0.01,True
M1,5,0.3,30,2.0,newyork,fft_cycle,64,0.03,5,53.2,3166,25.77,0.8899,94.4,-89.7,1533,1633,15163,28.25,1.0004,94.77,-71.25,7600,7563,0.1105,1.0296,98.53,72753,-0.0292,3.76,True
M1,5,0.3,30,2.0,newyork,fft_cycle,64,0.05,5,50.0,3166,25.77,0.8899,94.4,-89.7,1533,1633,15163,28.25,1.0004,94.77,-71.25,7600,7563,0.1105,1.0296,98.53,72753,-0.0292,3.76,True
