tf,strategy,fft_n,delta,slope_thresh,session_label,regime_filter,target_regime,regime_pct,regime_trend_pct,regime_cycle_pct,regime_noise_pct,regime_trans_pct,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,train_longs,train_shorts,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,oos_longs,oos_shorts,delta_pf,base_oos_pf,base_oos_dd,base_oos_trades,pf_gain
M15,rsi,128,0.08,-1.0,london,noise,noise,17.6,0.8,48.4,17.6,33.3,67,34.33,1.0455,15.86,1.33,28,39,245,37.96,1.2237,20.15,36.89,121,124,0.1782,1.0476,40.85,1376,0.1761
M15,rsi,128,0.08,-1.5,london,noise,noise,17.6,0.0,49.2,17.6,33.3,67,34.33,1.0455,15.86,1.33,28,39,245,37.96,1.2237,20.15,36.89,121,124,0.1782,1.0476,40.85,1376,0.1761
M5,rsi,128,0.03,-1.0,london,noise,noise,25.8,0.4,62.3,25.8,11.5,155,29.03,0.8182,29.95,-19.3,82,73,795,37.48,1.1992,24.62,147.48,379,416,0.381,1.01,46.69,3460,0.1892
M5,rsi,128,0.03,-1.5,london,noise,noise,25.8,0.0,62.6,25.8,11.5,155,29.03,0.8182,29.95,-19.3,82,73,795,37.48,1.1992,24.62,147.48,379,416,0.381,1.01,46.69,3460,0.1892
M5,rsi,128,0.05,-1.0,london,noise,noise,22.5,0.4,58.2,22.5,18.9,134,29.85,0.8511,27.01,-14.15,70,64,693,37.23,1.1862,22.96,109.0,325,368,0.3351,1.01,46.69,3460,0.1762
M5,rsi,128,0.05,-1.5,london,noise,noise,22.5,0.0,58.6,22.5,18.9,134,29.85,0.8511,27.01,-14.15,70,64,693,37.23,1.1862,22.96,109.0,325,368,0.3351,1.01,46.69,3460,0.1762
M5,rsi,128,0.08,-1.0,london,noise,noise,18.0,0.4,51.7,18.0,29.9,94,31.91,0.9375,15.96,-4.8,48,46,575,37.04,1.1768,15.93,78.56,263,312,0.2393,1.01,46.69,3460,0.1668
M5,rsi,128,0.08,-1.5,london,noise,noise,18.0,0.0,52.1,18.0,29.9,94,31.91,0.9375,15.96,-4.8,48,46,575,37.04,1.1768,15.93,78.56,263,312,0.2393,1.01,46.69,3460,0.1668
M15,rsi,128,0.03,-1.0,london,noise,noise,26.2,0.8,60.4,26.2,12.6,94,36.17,1.1525,16.65,8.36,40,54,351,37.04,1.1765,24.2,42.36,167,184,0.024,1.0476,40.85,1376,0.1289
M15,rsi,128,0.03,-1.5,london,noise,noise,26.2,0.0,61.2,26.2,12.6,94,36.17,1.1525,16.65,8.36,40,54,351,37.04,1.1765,24.2,42.36,167,184,0.024,1.0476,40.85,1376,0.1289
M15,rsi,128,0.05,-1.0,london,noise,noise,22.3,0.8,55.0,22.3,21.9,77,31.17,0.9231,19.2,-4.63,32,45,306,36.6,1.1546,22.04,30.75,150,156,0.2315,1.0476,40.85,1376,0.107
M15,rsi,128,0.05,-1.5,london,noise,noise,22.3,0.0,55.7,22.3,21.9,77,31.17,0.9231,19.2,-4.63,32,45,306,36.6,1.1546,22.04,30.75,150,156,0.2315,1.0476,40.85,1376,0.107
M1,rsi,64,0.03,-1.0,newyork,noise,noise,37.3,2.3,51.0,37.3,9.4,1249,35.79,1.1245,25.4,136.73,581,668,6079,36.16,1.1439,53.68,13365.74,2876,3203,0.0194,1.1287,54.52,15870,0.0152
M1,rsi,64,0.03,-1.5,newyork,noise,noise,37.3,0.2,53.1,37.3,9.4,1250,35.84,1.127,25.4,141.47,581,669,6079,36.16,1.1439,53.68,13365.74,2876,3203,0.0169,1.1287,54.52,15870,0.0152
M1,rsi,64,0.05,-1.0,newyork,noise,noise,34.3,2.3,47.7,34.3,15.7,1156,35.81,1.125,24.78,122.83,541,615,5572,36.0,1.1365,56.2,6885.24,2643,2929,0.0115,1.1287,54.52,15870,0.0078
M1,rsi,64,0.05,-1.5,newyork,noise,noise,34.3,0.2,49.8,34.3,15.7,1157,35.87,1.1277,24.78,127.29,541,616,5572,36.0,1.1365,56.2,6885.24,2643,2929,0.0088,1.1287,54.52,15870,0.0078
M1,rsi,64,0.05,-1.0,asian,noise,noise,34.3,2.3,47.7,34.3,15.7,1214,34.1,1.0363,52.53,18.3,586,628,5729,36.1,1.1307,56.48,6487.14,2862,2867,0.0944,1.0833,72.55,17436,0.0474
M1,rsi,64,0.05,-1.5,asian,noise,noise,34.3,0.2,49.8,34.3,15.7,1214,34.1,1.0363,52.53,18.3,586,628,5730,36.09,1.1304,56.48,6421.27,2863,2867,0.0941,1.0833,72.55,17436,0.0471
M1,rsi,64,0.03,-1.0,newyork,none,noise,37.3,2.3,51.0,37.3,9.4,3282,35.95,1.1319,46.57,1015.79,1538,1744,15870,35.85,1.1287,54.52,8491885.77,7784,8086,-0.0032,1.1287,54.52,15870,0.0
M1,rsi,64,0.03,-1.5,newyork,none,noise,37.3,0.2,53.1,37.3,9.4,3282,35.95,1.1319,46.57,1015.79,1538,1744,15870,35.85,1.1287,54.52,8491885.77,7784,8086,-0.0032,1.1287,54.52,15870,0.0
M1,rsi,64,0.05,-1.0,newyork,none,noise,34.3,2.3,47.7,34.3,15.7,3282,35.95,1.1319,46.57,1015.79,1538,1744,15870,35.85,1.1287,54.52,8491885.77,7784,8086,-0.0032,1.1287,54.52,15870,0.0
M1,rsi,64,0.05,-1.5,newyork,none,noise,34.3,0.2,49.8,34.3,15.7,3282,35.95,1.1319,46.57,1015.79,1538,1744,15870,35.85,1.1287,54.52,8491885.77,7784,8086,-0.0032,1.1287,54.52,15870,0.0
M1,rsi,64,0.08,-1.0,newyork,none,noise,29.9,2.3,42.9,29.9,24.9,3282,35.95,1.1319,46.57,1015.79,1538,1744,15870,35.85,1.1287,54.52,8491885.77,7784,8086,-0.0032,1.1287,54.52,15870,0.0
M1,rsi,64,0.08,-1.5,newyork,none,noise,29.9,0.2,45.0,29.9,25.0,3282,35.95,1.1319,46.57,1015.79,1538,1744,15870,35.85,1.1287,54.52,8491885.77,7784,8086,-0.0032,1.1287,54.52,15870,0.0
M1,rsi,64,0.03,-1.0,asian,noise,noise,37.3,2.3,51.0,37.3,9.4,1325,34.94,1.0755,44.18,67.41,647,678,6271,35.99,1.1257,60.01,7985.71,3111,3160,0.0502,1.0833,72.55,17436,0.0424
M1,rsi,64,0.03,-1.5,asian,noise,noise,37.3,0.2,53.1,37.3,9.4,1325,34.94,1.0755,44.18,67.41,647,678,6272,35.99,1.1254,60.01,7904.85,3112,3160,0.0499,1.0833,72.55,17436,0.0421
M1,rsi,64,0.08,-1.0,newyork,noise,noise,29.9,2.3,42.9,29.9,24.9,1004,35.46,1.1073,24.48,79.92,468,536,4895,35.63,1.1187,53.47,2350.4,2339,2556,0.0114,1.1287,54.52,15870,-0.01
M1,rsi,64,0.08,-1.5,newyork,noise,noise,29.9,0.2,45.0,29.9,25.0,1005,35.52,1.1104,24.48,83.52,468,537,4895,35.63,1.1187,53.47,2350.4,2339,2556,0.0083,1.1287,54.52,15870,-0.01
M1,rsi,64,0.08,-1.0,asian,noise,noise,29.9,2.3,42.9,29.9,24.9,1041,34.2,1.0394,41.09,17.97,507,534,4988,35.81,1.1166,48.17,2393.99,2482,2506,0.0772,1.0833,72.55,17436,0.0333
M1,rsi,64,0.08,-1.5,asian,noise,noise,29.9,0.2,45.0,29.9,25.0,1041,34.2,1.0394,41.09,17.97,507,534,4989,35.8,1.1162,48.17,2369.05,2483,2506,0.0768,1.0833,72.55,17436,0.0329
M1,rsi,64,0.03,-1.0,all,noise,noise,37.3,2.3,51.0,37.3,9.4,3718,35.45,1.1048,54.95,732.92,1752,1966,17861,35.65,1.1142,64.01,7446065.14,8783,9078,0.0094,1.0956,60.12,49092,0.0186
M1,rsi,64,0.03,-1.5,all,noise,noise,37.3,0.2,53.1,37.3,9.4,3720,35.46,1.1052,55.4,741.08,1752,1968,17863,35.64,1.114,64.01,7297886.45,8785,9078,0.0088,1.0956,60.12,49092,0.0184
M1,rsi,64,0.05,-1.0,all,noise,noise,34.3,2.3,47.7,34.3,15.7,3407,35.22,1.0934,58.26,448.86,1604,1803,16308,35.56,1.1102,63.02,1876077.87,8045,8263,0.0168,1.0956,60.12,49092,0.0146
M1,rsi,64,0.05,-1.5,all,noise,noise,34.3,0.2,49.8,34.3,15.7,3408,35.24,1.0943,58.26,459.83,1604,1804,16310,35.55,1.11,63.02,1838741.93,8047,8263,0.0157,1.0956,60.12,49092,0.0144
M1,rsi,64,0.08,-1.0,all,noise,noise,29.9,2.3,42.9,29.9,24.9,2949,34.96,1.0807,55.37,245.72,1386,1563,14175,35.27,1.0964,69.47,154592.31,6993,7182,0.0157,1.0956,60.12,49092,0.0008
M1,rsi,64,0.08,-1.5,all,noise,noise,29.9,0.2,45.0,29.9,25.0,2950,34.98,1.0818,55.37,252.64,1386,1564,14177,35.27,1.0961,69.47,151513.94,6995,7182,0.0143,1.0956,60.12,49092,0.0005
M1,rsi,64,0.03,-1.0,all,none,noise,37.3,2.3,51.0,37.3,9.4,10031,35.1,1.0881,66.29,10669.22,4896,5135,49092,35.27,1.0956,60.12,8983390186176.89,24464,24628,0.0075,1.0956,60.12,49092,0.0
M1,rsi,64,0.03,-1.5,all,none,noise,37.3,0.2,53.1,37.3,9.4,10031,35.1,1.0881,66.29,10669.22,4896,5135,49092,35.27,1.0956,60.12,8983390186176.89,24464,24628,0.0075,1.0956,60.12,49092,0.0
M1,rsi,64,0.05,-1.0,all,none,noise,34.3,2.3,47.7,34.3,15.7,10031,35.1,1.0881,66.29,10669.22,4896,5135,49092,35.27,1.0956,60.12,8983390186176.89,24464,24628,0.0075,1.0956,60.12,49092,0.0
M1,rsi,64,0.05,-1.5,all,none,noise,34.3,0.2,49.8,34.3,15.7,10031,35.1,1.0881,66.29,10669.22,4896,5135,49092,35.27,1.0956,60.12,8983390186176.89,24464,24628,0.0075,1.0956,60.12,49092,0.0
M1,rsi,64,0.08,-1.0,all,none,noise,29.9,2.3,42.9,29.9,24.9,10031,35.1,1.0881,66.29,10669.22,4896,5135,49092,35.27,1.0956,60.12,8983390186176.89,24464,24628,0.0075,1.0956,60.12,49092,0.0
M1,rsi,64,0.08,-1.5,all,none,noise,29.9,0.2,45.0,29.9,25.0,10031,35.1,1.0881,66.29,10669.22,4896,5135,49092,35.27,1.0956,60.12,8983390186176.89,24464,24628,0.0075,1.0956,60.12,49092,0.0
M1,rsi,64,0.03,-1.0,asian,none,noise,37.3,2.3,51.0,37.3,9.4,3576,35.12,1.0851,47.68,398.07,1803,1773,17436,35.11,1.0833,72.55,206369.57,8709,8727,-0.0018,1.0833,72.55,17436,0.0
M1,rsi,64,0.03,-1.5,asian,none,noise,37.3,0.2,53.1,37.3,9.4,3576,35.12,1.0851,47.68,398.07,1803,1773,17436,35.11,1.0833,72.55,206369.57,8709,8727,-0.0018,1.0833,72.55,17436,0.0
M1,rsi,64,0.05,-1.0,asian,none,noise,34.3,2.3,47.7,34.3,15.7,3576,35.12,1.0851,47.68,398.07,1803,1773,17436,35.11,1.0833,72.55,206369.57,8709,8727,-0.0018,1.0833,72.55,17436,0.0
M1,rsi,64,0.05,-1.5,asian,none,noise,34.3,0.2,49.8,34.3,15.7,3576,35.12,1.0851,47.68,398.07,1803,1773,17436,35.11,1.0833,72.55,206369.57,8709,8727,-0.0018,1.0833,72.55,17436,0.0
M1,rsi,64,0.08,-1.0,asian,none,noise,29.9,2.3,42.9,29.9,24.9,3576,35.12,1.0851,47.68,398.07,1803,1773,17436,35.11,1.0833,72.55,206369.57,8709,8727,-0.0018,1.0833,72.55,17436,0.0
M1,rsi,64,0.08,-1.5,asian,none,noise,29.9,0.2,45.0,29.9,25.0,3576,35.12,1.0851,47.68,398.07,1803,1773,17436,35.11,1.0833,72.55,206369.57,8709,8727,-0.0018,1.0833,72.55,17436,0.0
M1,rsi,64,0.03,-1.0,london,none,noise,37.3,2.3,51.0,37.3,9.4,3463,35.92,1.1299,43.7,1122.68,1729,1734,17917,34.77,1.0741,71.93,87618.67,9014,8903,-0.0558,1.0741,71.93,17917,0.0
M1,rsi,64,0.03,-1.5,london,none,noise,37.3,0.2,53.1,37.3,9.4,3463,35.92,1.1299,43.7,1122.68,1729,1734,17917,34.77,1.0741,71.93,87618.67,9014,8903,-0.0558,1.0741,71.93,17917,0.0
M1,rsi,64,0.05,-1.0,london,none,noise,34.3,2.3,47.7,34.3,15.7,3463,35.92,1.1299,43.7,1122.68,1729,1734,17917,34.77,1.0741,71.93,87618.67,9014,8903,-0.0558,1.0741,71.93,17917,0.0
M1,rsi,64,0.05,-1.5,london,none,noise,34.3,0.2,49.8,34.3,15.7,3463,35.92,1.1299,43.7,1122.68,1729,1734,17917,34.77,1.0741,71.93,87618.67,9014,8903,-0.0558,1.0741,71.93,17917,0.0
M1,rsi,64,0.08,-1.0,london,none,noise,29.9,2.3,42.9,29.9,24.9,3463,35.92,1.1299,43.7,1122.68,1729,1734,17917,34.77,1.0741,71.93,87618.67,9014,8903,-0.0558,1.0741,71.93,17917,0.0
M1,rsi,64,0.08,-1.5,london,none,noise,29.9,0.2,45.0,29.9,25.0,3463,35.92,1.1299,43.7,1122.68,1729,1734,17917,34.77,1.0741,71.93,87618.67,9014,8903,-0.0558,1.0741,71.93,17917,0.0
M1,rsi,64,0.03,-1.0,london,noise,noise,37.3,2.3,51.0,37.3,9.4,1225,37.22,1.1953,33.62,290.24,590,635,6350,34.63,1.069,60.97,801.51,3156,3194,-0.1263,1.0741,71.93,17917,-0.0051
M1,rsi,64,0.03,-1.5,london,noise,noise,37.3,0.2,53.1,37.3,9.4,1227,37.25,1.1963,34.28,294.06,590,637,6351,34.62,1.0688,60.97,792.49,3157,3194,-0.1275,1.0741,71.93,17917,-0.0053
M15,derivative,64,0.03,-1.5,asian,cycle,cycle,48.5,0.2,48.5,41.5,9.8,803,24.53,0.9752,49.79,-23.46,402,401,4181,26.19,1.0652,66.72,294.19,2073,2108,0.09,1.0385,85.25,8472,0.0267
M1,rsi,64,0.05,-1.0,london,noise,noise,34.3,2.3,47.7,34.3,15.7,1122,37.7,1.219,30.88,306.16,544,578,5777,34.48,1.0624,58.68,480.13,2866,2911,-0.1566,1.0741,71.93,17917,-0.0117
M1,rsi,64,0.05,-1.5,london,noise,noise,34.3,0.2,49.8,34.3,15.7,1123,37.76,1.2219,30.88,314.28,544,579,5778,34.48,1.0621,58.68,474.32,2867,2911,-0.1598,1.0741,71.93,17917,-0.012
M5,rsi,64,0.03,-1.0,asian,noise,noise,39.0,1.6,50.0,39.0,9.4,336,32.44,0.9604,27.42,-11.57,156,180,1407,34.61,1.0587,38.18,48.82,666,741,0.0983,1.0126,63.86,3838,0.0461
M5,rsi,64,0.03,-1.5,asian,noise,noise,39.0,0.1,51.5,39.0,9.4,336,32.44,0.9604,27.42,-11.57,156,180,1407,34.61,1.0587,38.18,48.82,666,741,0.0983,1.0126,63.86,3838,0.0461
M15,derivative,64,0.03,-1.0,asian,cycle,cycle,46.9,1.9,46.9,41.5,9.7,786,24.3,0.963,53.03,-28.41,394,392,4063,26.06,1.0583,66.96,210.08,2012,2051,0.0953,1.0385,85.25,8472,0.0198
M5,rsi,64,0.05,-1.0,asian,noise,noise,35.9,1.6,46.7,35.9,15.8,309,32.69,0.9712,24.14,-8.64,140,169,1296,34.57,1.0566,39.21,41.75,611,685,0.0854,1.0126,63.86,3838,0.044
M5,rsi,64,0.05,-1.5,asian,noise,noise,35.9,0.1,48.2,35.9,15.8,309,32.69,0.9712,24.14,-8.64,140,169,1296,34.57,1.0566,39.21,41.75,611,685,0.0854,1.0126,63.86,3838,0.044
M1,rsi,64,0.08,-1.0,london,noise,noise,29.9,2.3,42.9,29.9,24.9,975,37.85,1.2259,27.04,251.44,467,508,4992,34.19,1.0482,62.57,191.29,2470,2522,-0.1777,1.0741,71.93,17917,-0.0259
M1,rsi,64,0.08,-1.5,london,noise,noise,29.9,0.2,45.0,29.9,25.0,976,37.91,1.2292,27.04,258.47,467,509,4993,34.19,1.0479,62.57,188.37,2471,2522,-0.1813,1.0741,71.93,17917,-0.0262
M15,rsi,64,0.03,-1.0,london,none,noise,41.5,1.9,46.9,41.5,9.7,309,33.01,0.9903,19.44,-4.92,142,167,1376,34.38,1.0476,40.85,33.8,698,678,0.0573,1.0476,40.85,1376,0.0
M15,rsi,64,0.03,-1.5,london,none,noise,41.5,0.2,48.5,41.5,9.8,309,33.01,0.9903,19.44,-4.92,142,167,1376,34.38,1.0476,40.85,33.8,698,678,0.0573,1.0476,40.85,1376,0.0
M15,rsi,64,0.05,-1.0,london,none,noise,38.3,1.9,43.5,38.3,16.3,309,33.01,0.9903,19.44,-4.92,142,167,1376,34.38,1.0476,40.85,33.8,698,678,0.0573,1.0476,40.85,1376,0.0
M15,rsi,64,0.05,-1.5,london,none,noise,38.3,0.2,45.2,38.3,16.4,309,33.01,0.9903,19.44,-4.92,142,167,1376,34.38,1.0476,40.85,33.8,698,678,0.0573,1.0476,40.85,1376,0.0
M15,rsi,64,0.08,-1.0,london,none,noise,33.5,1.9,38.4,33.5,26.2,309,33.01,0.9903,19.44,-4.92,142,167,1376,34.38,1.0476,40.85,33.8,698,678,0.0573,1.0476,40.85,1376,0.0
M15,rsi,64,0.08,-1.5,london,none,noise,33.5,0.2,40.0,33.5,26.2,309,33.01,0.9903,19.44,-4.92,142,167,1376,34.38,1.0476,40.85,33.8,698,678,0.0573,1.0476,40.85,1376,0.0
M15,rsi,128,0.03,-1.0,london,none,noise,26.2,0.8,60.4,26.2,12.6,309,33.01,0.9903,19.44,-4.92,142,167,1376,34.38,1.0476,40.85,33.8,698,678,0.0573,1.0476,40.85,1376,0.0
M15,rsi,128,0.03,-1.5,london,none,noise,26.2,0.0,61.2,26.2,12.6,309,33.01,0.9903,19.44,-4.92,142,167,1376,34.38,1.0476,40.85,33.8,698,678,0.0573,1.0476,40.85,1376,0.0
M15,rsi,128,0.05,-1.0,london,none,noise,22.3,0.8,55.0,22.3,21.9,309,33.01,0.9903,19.44,-4.92,142,167,1376,34.38,1.0476,40.85,33.8,698,678,0.0573,1.0476,40.85,1376,0.0
M15,rsi,128,0.05,-1.5,london,none,noise,22.3,0.0,55.7,22.3,21.9,309,33.01,0.9903,19.44,-4.92,142,167,1376,34.38,1.0476,40.85,33.8,698,678,0.0573,1.0476,40.85,1376,0.0
M15,rsi,128,0.08,-1.0,london,none,noise,17.6,0.8,48.4,17.6,33.3,309,33.01,0.9903,19.44,-4.92,142,167,1376,34.38,1.0476,40.85,33.8,698,678,0.0573,1.0476,40.85,1376,0.0
M15,rsi,128,0.08,-1.5,london,none,noise,17.6,0.0,49.2,17.6,33.3,309,33.01,0.9903,19.44,-4.92,142,167,1376,34.38,1.0476,40.85,33.8,698,678,0.0573,1.0476,40.85,1376,0.0
M1,derivative,64,0.08,-1.0,asian,cycle,cycle,42.9,2.3,42.9,29.9,24.9,10361,25.77,1.0483,92.97,739.29,5177,5184,52322,25.79,1.0472,95.78,3100011.45,26128,26194,-0.0011,1.0368,98.32,118116,0.0104
M1,derivative,64,0.05,-1.0,asian,cycle,cycle,47.7,2.3,47.7,34.3,15.7,11547,26.02,1.0618,93.64,3201.13,5760,5787,58025,25.73,1.0442,97.65,2727633.36,29005,29020,-0.0176,1.0368,98.32,118116,0.0074
M1,derivative,64,0.03,-1.0,asian,cycle,cycle,51.0,2.3,51.0,37.3,9.4,12357,26.07,1.0643,93.75,5152.61,6167,6190,61806,25.73,1.0442,98.85,5384522.47,30872,30934,-0.0201,1.0368,98.32,118116,0.0074
