tf,strategy,fft_n,delta,slope_thresh,session_label,regime_filter,target_regime,regime_pct,regime_trend_pct,regime_cycle_pct,regime_noise_pct,regime_trans_pct,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,train_longs,train_shorts,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,oos_longs,oos_shorts,delta_pf,base_oos_pf,base_oos_dd,base_oos_trades,pf_gain
M1,derivative,64,0.05,-1.0,london,cycle,cycle,47.7,2.3,47.7,34.3,15.7,13429,25.94,0.8697,100.0,-100.0,6704,6725,65136,25.55,0.8304,100.0,-100.0,32621,32515,-0.0393,0.8225,100.0,131897,0.0079
M1,derivative,64,0.08,-1.0,london,cycle,cycle,42.9,2.3,42.9,29.9,24.9,12062,25.73,0.8611,100.0,-100.0,6029,6033,58770,25.55,0.8302,100.0,-100.0,29462,29308,-0.0309,0.8225,100.0,131897,0.0077
M1,derivative,64,0.03,-1.0,london,cycle,cycle,51.0,2.3,51.0,37.3,9.4,14335,25.94,0.869,100.0,-100.0,7156,7179,69419,25.54,0.8299,100.0,-100.0,34726,34693,-0.0391,0.8225,100.0,131897,0.0074
M1,derivative,64,0.05,-1.5,london,cycle,cycle,49.8,0.2,49.8,34.3,15.7,14019,26.01,0.874,100.0,-100.0,7012,7007,67990,25.51,0.8286,100.0,-100.0,34056,33934,-0.0454,0.8225,100.0,131897,0.0061
M1,derivative,64,0.03,-1.5,london,cycle,cycle,53.1,0.2,53.1,37.3,9.4,14927,26.01,0.8732,100.0,-100.0,7465,7462,72278,25.5,0.8283,100.0,-100.0,36162,36116,-0.0449,0.8225,100.0,131897,0.0058
M1,derivative,64,0.08,-1.5,london,cycle,cycle,45.0,0.2,45.0,29.9,25.0,12645,25.83,0.8662,100.0,-100.0,6331,6314,61608,25.5,0.8282,100.0,-100.0,30888,30720,-0.038,0.8225,100.0,131897,0.0057
M1,rsi,64,0.03,-1.0,london,noise,noise,37.3,2.3,51.0,37.3,9.4,1439,35.51,0.8786,81.06,-76.64,693,746,6810,34.77,0.8249,100.0,-99.99,3405,3405,-0.0537,0.8188,100.0,19205,0.0061
M1,rsi,64,0.03,-1.5,london,noise,noise,37.3,0.2,53.1,37.3,9.4,1440,35.49,0.8777,81.28,-76.91,693,747,6811,34.77,0.8247,100.0,-99.99,3406,3405,-0.053,0.8188,100.0,19205,0.0059
M1,rsi,64,0.05,-1.0,london,noise,noise,34.3,2.3,47.7,34.3,15.7,1308,35.17,0.8632,82.13,-77.28,628,680,6214,34.76,0.8241,99.99,-99.99,3125,3089,-0.0391,0.8188,100.0,19205,0.0053
M1,rsi,64,0.05,-1.5,london,noise,noise,34.3,0.2,49.8,34.3,15.7,1308,35.17,0.8632,82.13,-77.28,628,680,6215,34.75,0.8238,99.99,-99.99,3126,3089,-0.0394,0.8188,100.0,19205,0.005
M1,derivative,64,0.03,-1.0,london,none,cycle,51.0,2.3,51.0,37.3,9.4,27129,25.67,0.851,100.0,-100.0,13564,13565,131897,25.38,0.8225,100.0,-100.0,66005,65892,-0.0285,0.8225,100.0,131897,0.0
M1,derivative,64,0.03,-1.5,london,none,cycle,53.1,0.2,53.1,37.3,9.4,27129,25.67,0.851,100.0,-100.0,13564,13565,131897,25.38,0.8225,100.0,-100.0,66005,65892,-0.0285,0.8225,100.0,131897,0.0
M1,derivative,64,0.05,-1.0,london,none,cycle,47.7,2.3,47.7,34.3,15.7,27129,25.67,0.851,100.0,-100.0,13564,13565,131897,25.38,0.8225,100.0,-100.0,66005,65892,-0.0285,0.8225,100.0,131897,0.0
M1,derivative,64,0.05,-1.5,london,none,cycle,49.8,0.2,49.8,34.3,15.7,27129,25.67,0.851,100.0,-100.0,13564,13565,131897,25.38,0.8225,100.0,-100.0,66005,65892,-0.0285,0.8225,100.0,131897,0.0
M1,derivative,64,0.08,-1.0,london,none,cycle,42.9,2.3,42.9,29.9,24.9,27129,25.67,0.851,100.0,-100.0,13564,13565,131897,25.38,0.8225,100.0,-100.0,66005,65892,-0.0285,0.8225,100.0,131897,0.0
M1,derivative,64,0.08,-1.5,london,none,cycle,45.0,0.2,45.0,29.9,25.0,27129,25.67,0.851,100.0,-100.0,13564,13565,131897,25.38,0.8225,100.0,-100.0,66005,65892,-0.0285,0.8225,100.0,131897,0.0
M1,rsi,64,0.03,-1.0,london,none,noise,37.3,2.3,51.0,37.3,9.4,4019,34.21,0.8338,99.69,-99.58,2020,1999,19205,34.56,0.8188,100.0,-100.0,9657,9548,-0.015,0.8188,100.0,19205,0.0
M1,rsi,64,0.03,-1.5,london,none,noise,37.3,0.2,53.1,37.3,9.4,4019,34.21,0.8338,99.69,-99.58,2020,1999,19205,34.56,0.8188,100.0,-100.0,9657,9548,-0.015,0.8188,100.0,19205,0.0
M1,rsi,64,0.05,-1.0,london,none,noise,34.3,2.3,47.7,34.3,15.7,4019,34.21,0.8338,99.69,-99.58,2020,1999,19205,34.56,0.8188,100.0,-100.0,9657,9548,-0.015,0.8188,100.0,19205,0.0
M1,rsi,64,0.05,-1.5,london,none,noise,34.3,0.2,49.8,34.3,15.7,4019,34.21,0.8338,99.69,-99.58,2020,1999,19205,34.56,0.8188,100.0,-100.0,9657,9548,-0.015,0.8188,100.0,19205,0.0
M1,rsi,64,0.08,-1.0,london,none,noise,29.9,2.3,42.9,29.9,24.9,4019,34.21,0.8338,99.69,-99.58,2020,1999,19205,34.56,0.8188,100.0,-100.0,9657,9548,-0.015,0.8188,100.0,19205,0.0
M1,rsi,64,0.08,-1.5,london,none,noise,29.9,0.2,45.0,29.9,25.0,4019,34.21,0.8338,99.69,-99.58,2020,1999,19205,34.56,0.8188,100.0,-100.0,9657,9548,-0.015,0.8188,100.0,19205,0.0
M1,rsi,64,0.08,-1.0,london,noise,noise,29.9,2.3,42.9,29.9,24.9,1124,34.88,0.8495,78.51,-75.28,539,585,5401,34.35,0.8074,99.98,-99.98,2701,2700,-0.0421,0.8188,100.0,19205,-0.0114
M1,rsi,64,0.08,-1.5,london,noise,noise,29.9,0.2,45.0,29.9,25.0,1124,34.88,0.8495,78.51,-75.28,539,585,5402,34.34,0.8071,99.98,-99.98,2702,2700,-0.0424,0.8188,100.0,19205,-0.0117
M1,derivative,64,0.03,-1.0,newyork,none,cycle,51.0,2.3,51.0,37.3,9.4,24108,24.55,0.7864,100.0,-100.0,12060,12048,113834,24.69,0.7819,100.0,-100.0,56963,56871,-0.0045,0.7819,100.0,113834,0.0
M1,derivative,64,0.03,-1.5,newyork,none,cycle,53.1,0.2,53.1,37.3,9.4,24108,24.55,0.7864,100.0,-100.0,12060,12048,113834,24.69,0.7819,100.0,-100.0,56963,56871,-0.0045,0.7819,100.0,113834,0.0
M1,derivative,64,0.05,-1.0,newyork,none,cycle,47.7,2.3,47.7,34.3,15.7,24108,24.55,0.7864,100.0,-100.0,12060,12048,113834,24.69,0.7819,100.0,-100.0,56963,56871,-0.0045,0.7819,100.0,113834,0.0
M1,derivative,64,0.05,-1.5,newyork,none,cycle,49.8,0.2,49.8,34.3,15.7,24108,24.55,0.7864,100.0,-100.0,12060,12048,113834,24.69,0.7819,100.0,-100.0,56963,56871,-0.0045,0.7819,100.0,113834,0.0
M1,derivative,64,0.05,-1.5,newyork,cycle,cycle,49.8,0.2,49.8,34.3,15.7,12497,24.14,0.779,100.0,-100.0,6240,6257,58847,24.62,0.7819,100.0,-100.0,29456,29391,0.0029,0.7819,100.0,113834,0.0
M1,derivative,64,0.08,-1.0,newyork,none,cycle,42.9,2.3,42.9,29.9,24.9,24108,24.55,0.7864,100.0,-100.0,12060,12048,113834,24.69,0.7819,100.0,-100.0,56963,56871,-0.0045,0.7819,100.0,113834,0.0
M1,derivative,64,0.08,-1.5,newyork,none,cycle,45.0,0.2,45.0,29.9,25.0,24108,24.55,0.7864,100.0,-100.0,12060,12048,113834,24.69,0.7819,100.0,-100.0,56963,56871,-0.0045,0.7819,100.0,113834,0.0
M1,derivative,64,0.03,-1.5,newyork,cycle,cycle,53.1,0.2,53.1,37.3,9.4,13256,24.15,0.7793,100.0,-100.0,6611,6645,62638,24.62,0.7818,100.0,-100.0,31306,31332,0.0025,0.7819,100.0,113834,-0.0001
M1,derivative,64,0.03,-1.0,newyork,cycle,cycle,51.0,2.3,51.0,37.3,9.4,12717,24.21,0.782,100.0,-100.0,6335,6382,60139,24.57,0.7799,100.0,-100.0,30046,30093,-0.0021,0.7819,100.0,113834,-0.002
M1,derivative,64,0.05,-1.0,newyork,cycle,cycle,47.7,2.3,47.7,34.3,15.7,11961,24.2,0.7815,100.0,-100.0,5967,5994,56356,24.58,0.7798,100.0,-100.0,28200,28156,-0.0017,0.7819,100.0,113834,-0.0021
M1,derivative,64,0.08,-1.5,newyork,cycle,cycle,45.0,0.2,45.0,29.9,25.0,11291,24.08,0.7777,100.0,-100.0,5653,5638,53063,24.55,0.7794,100.0,-100.0,26569,26494,0.0017,0.7819,100.0,113834,-0.0025
M1,derivative,64,0.08,-1.0,newyork,cycle,cycle,42.9,2.3,42.9,29.9,24.9,10762,24.16,0.781,100.0,-100.0,5384,5378,50591,24.49,0.7769,100.0,-100.0,25323,25268,-0.0041,0.7819,100.0,113834,-0.005
M1,rsi,64,0.03,-1.0,newyork,none,noise,37.3,2.3,51.0,37.3,9.4,3044,36.2,0.8724,97.17,-96.1,1513,1531,15793,34.29,0.7747,100.0,-100.0,7862,7931,-0.0977,0.7747,100.0,15793,0.0
M1,rsi,64,0.03,-1.5,newyork,none,noise,37.3,0.2,53.1,37.3,9.4,3044,36.2,0.8724,97.17,-96.1,1513,1531,15793,34.29,0.7747,100.0,-100.0,7862,7931,-0.0977,0.7747,100.0,15793,0.0
M1,rsi,64,0.05,-1.0,newyork,none,noise,34.3,2.3,47.7,34.3,15.7,3044,36.2,0.8724,97.17,-96.1,1513,1531,15793,34.29,0.7747,100.0,-100.0,7862,7931,-0.0977,0.7747,100.0,15793,0.0
M1,rsi,64,0.05,-1.5,newyork,none,noise,34.3,0.2,49.8,34.3,15.7,3044,36.2,0.8724,97.17,-96.1,1513,1531,15793,34.29,0.7747,100.0,-100.0,7862,7931,-0.0977,0.7747,100.0,15793,0.0
M1,rsi,64,0.08,-1.0,newyork,none,noise,29.9,2.3,42.9,29.9,24.9,3044,36.2,0.8724,97.17,-96.1,1513,1531,15793,34.29,0.7747,100.0,-100.0,7862,7931,-0.0977,0.7747,100.0,15793,0.0
M1,rsi,64,0.08,-1.5,newyork,none,noise,29.9,0.2,45.0,29.9,25.0,3044,36.2,0.8724,97.17,-96.1,1513,1531,15793,34.29,0.7747,100.0,-100.0,7862,7931,-0.0977,0.7747,100.0,15793,0.0
M1,rsi,64,0.03,-1.0,newyork,noise,noise,37.3,2.3,51.0,37.3,9.4,1065,38.03,0.9289,61.33,-49.09,509,556,5589,34.01,0.7616,100.0,-100.0,2731,2858,-0.1673,0.7747,100.0,15793,-0.0131
M1,rsi,64,0.03,-1.5,newyork,noise,noise,37.3,0.2,53.1,37.3,9.4,1067,38.05,0.93,61.03,-48.69,509,558,5589,34.01,0.7616,100.0,-100.0,2731,2858,-0.1684,0.7747,100.0,15793,-0.0131
M1,rsi,64,0.05,-1.0,newyork,noise,noise,34.3,2.3,47.7,34.3,15.7,973,38.54,0.9476,54.76,-38.08,469,504,5072,33.83,0.755,100.0,-100.0,2474,2598,-0.1926,0.7747,100.0,15793,-0.0197
M1,rsi,64,0.05,-1.5,newyork,noise,noise,34.3,0.2,49.8,34.3,15.7,974,38.6,0.9503,53.88,-36.87,469,505,5072,33.83,0.755,100.0,-100.0,2474,2598,-0.1953,0.7747,100.0,15793,-0.0197
M1,rsi,64,0.08,-1.0,newyork,noise,noise,29.9,2.3,42.9,29.9,24.9,846,38.42,0.9383,57.39,-37.92,402,444,4374,33.45,0.7401,99.99,-99.99,2127,2247,-0.1982,0.7747,100.0,15793,-0.0346
M1,rsi,64,0.08,-1.5,newyork,noise,noise,29.9,0.2,45.0,29.9,25.0,847,38.49,0.9414,57.39,-36.71,402,445,4374,33.45,0.7401,99.99,-99.99,2127,2247,-0.2013,0.7747,100.0,15793,-0.0346
M1,rsi,64,0.03,-1.0,all,noise,noise,37.3,2.3,51.0,37.3,9.4,3718,35.34,0.736,99.98,-99.98,1752,1966,17861,35.52,0.719,100.0,-100.0,8783,9078,-0.017,0.7139,100.0,49092,0.0051
