tf,fast_ema,mid_ema,slow_ema,sl_atr_mult,rr,session_label,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,total_trades,total_longs,total_shorts,avg_bars
M5,13,34,55,1.5,4.0,asian,621,19.65,0.978,42.98,-20.56,2980,21.98,1.1269,52.84,920.15,3601,1756,1845,14.875923354623716
M5,8,34,55,1.0,4.0,asian,732,20.22,1.0137,37.17,-6.27,3483,21.73,1.1108,58.41,890.33,4215,2045,2170,6.665266903914591
M5,13,34,55,1.5,3.0,asian,621,24.32,0.9638,44.51,-22.92,2980,26.98,1.1085,43.41,565.75,3601,1756,1845,11.386226048319912
M15,13,21,89,1.0,3.0,asian,264,27.65,1.1466,15.01,26.89,1301,26.9,1.1041,30.81,119.84,1565,754,811,3.8506070287539935
M5,13,34,55,1.0,4.0,asian,621,19.81,0.988,36.16,-16.55,2980,21.61,1.1027,57.56,493.31,3601,1756,1845,6.831019161344071
M15,13,34,55,1.0,2.0,asian,222,35.14,1.0833,13.31,10.23,1115,35.52,1.1015,33.27,85.09,1337,649,688,2.7169783096484665
M5,5,34,55,1.5,4.0,asian,860,20.35,1.0219,38.35,-2.06,4176,21.48,1.0942,62.32,826.21,5036,2463,2573,14.744003177124704
M15,13,21,89,1.0,4.0,asian,264,22.73,1.1765,22.29,35.39,1301,21.45,1.092,48.35,95.65,1565,754,811,5.43373801916933
M15,5,34,55,1.0,3.0,asian,303,27.72,1.1507,18.26,32.57,1545,26.67,1.0909,33.66,120.6,1848,903,945,3.7672077922077922
M5,8,34,55,1.5,4.0,asian,732,19.54,0.9711,42.87,-26.73,3483,21.42,1.0902,52.24,475.97,4215,2045,2170,14.65153024911032
M5,5,34,55,1.0,4.0,asian,860,20.7,1.044,41.11,13.54,4176,21.38,1.088,60.04,660.53,5036,2463,2573,6.734154090548054
M15,5,21,89,1.0,2.0,asian,367,37.06,1.1775,13.25,45.0,1797,35.23,1.0876,32.32,130.82,2164,1044,1120,2.5830406654343805
M15,5,34,55,1.0,2.0,asian,303,36.63,1.1562,16.62,30.79,1545,35.21,1.0869,29.33,103.86,1848,903,945,2.550811688311688
M5,8,34,89,1.0,4.0,asian,690,20.0,1.0,39.2,-12.66,3366,21.36,1.0865,62.85,393.55,4056,2001,2055,6.7
M15,8,21,55,1.5,4.0,asian,318,20.75,1.0476,31.11,5.75,1665,21.32,1.0856,50.0,117.61,1983,979,1004,12.692435703479577
M5,5,34,89,1.0,4.0,asian,820,20.73,1.0462,47.65,14.43,4056,21.33,1.0843,56.26,539.36,4876,2416,2460,6.800902378999179
M5,13,34,55,1.0,2.0,asian,621,35.43,1.0973,26.36,38.6,2980,35.13,1.0833,36.39,269.16,3601,1756,1845,3.413773951680089
M5,13,21,89,1.0,4.0,asian,734,20.44,1.0274,36.94,1.38,3513,21.29,1.0821,57.43,370.17,4247,2091,2156,6.734565575700495
M15,8,21,89,1.0,2.0,asian,307,35.18,1.0854,16.13,14.87,1532,35.05,1.0794,41.24,88.5,1839,882,957,2.5499184339314844
M15,13,21,89,1.0,2.0,asian,264,37.12,1.1807,10.73,31.3,1301,35.05,1.0793,39.86,71.17,1565,754,811,2.5493929712460064
M5,8,34,55,1.5,3.0,asian,732,25.0,1.0,43.48,-10.27,3483,26.44,1.0785,44.51,336.97,4215,2045,2170,11.152099644128114
M5,13,34,89,1.0,2.0,asian,580,35.69,1.1099,20.31,41.96,2863,35.0,1.0768,47.86,212.23,3443,1706,1737,3.5663084519314556
M15,5,34,55,1.5,4.0,asian,303,23.1,1.2017,23.77,49.74,1545,21.17,1.0757,37.02,82.94,1848,903,945,12.17711038961039
M5,13,21,55,1.5,4.0,asian,785,18.98,0.9371,56.3,-42.2,3717,21.17,1.0751,71.12,321.78,4502,2215,2287,14.72205686361617
