tf,fast_ema,mid_ema,slow_ema,sl_atr_mult,rr,session_label,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,total_trades,total_longs,total_shorts,avg_bars
M5,13,34,55,1.5,4.0,asian,621,19.65,0.978,42.98,-20.56,2980,21.98,1.1269,52.84,920.15,3601,1756,1845,14.875923354623716
M5,8,34,55,1.0,4.0,asian,732,20.22,1.0137,37.17,-6.27,3483,21.73,1.1108,58.41,890.33,4215,2045,2170,6.665266903914591
M5,13,34,55,1.5,3.0,asian,621,24.32,0.9638,44.51,-22.92,2980,26.98,1.1085,43.41,565.75,3601,1756,1845,11.386226048319912
M5,13,34,55,1.0,4.0,asian,621,19.81,0.988,36.16,-16.55,2980,21.61,1.1027,57.56,493.31,3601,1756,1845,6.831019161344071
M5,5,34,55,1.5,4.0,asian,860,20.35,1.0219,38.35,-2.06,4176,21.48,1.0942,62.32,826.21,5036,2463,2573,14.744003177124704
M5,8,34,55,1.5,4.0,asian,732,19.54,0.9711,42.87,-26.73,3483,21.42,1.0902,52.24,475.97,4215,2045,2170,14.65153024911032
M5,5,34,55,1.0,4.0,asian,860,20.7,1.044,41.11,13.54,4176,21.38,1.088,60.04,660.53,5036,2463,2573,6.734154090548054
M5,8,34,89,1.0,4.0,asian,690,20.0,1.0,39.2,-12.66,3366,21.36,1.0865,62.85,393.55,4056,2001,2055,6.7
M5,5,34,89,1.0,4.0,asian,820,20.73,1.0462,47.65,14.43,4056,21.33,1.0843,56.26,539.36,4876,2416,2460,6.800902378999179
M5,13,34,55,1.0,2.0,asian,621,35.43,1.0973,26.36,38.6,2980,35.13,1.0833,36.39,269.16,3601,1756,1845,3.413773951680089
M5,13,21,89,1.0,4.0,asian,734,20.44,1.0274,36.94,1.38,3513,21.29,1.0821,57.43,370.17,4247,2091,2156,6.734565575700495
M5,8,34,55,1.5,3.0,asian,732,25.0,1.0,43.48,-10.27,3483,26.44,1.0785,44.51,336.97,4215,2045,2170,11.152099644128114
M5,13,34,89,1.0,2.0,asian,580,35.69,1.1099,20.31,41.96,2863,35.0,1.0768,47.86,212.23,3443,1706,1737,3.5663084519314556
M5,13,21,55,1.5,4.0,asian,785,18.98,0.9371,56.3,-42.2,3717,21.17,1.0751,71.12,321.78,4502,2215,2287,14.72205686361617
M5,13,34,89,1.0,4.0,asian,580,19.83,0.9892,34.16,-15.04,2863,21.17,1.074,62.3,195.69,3443,1706,1737,6.9
M5,8,34,89,1.0,3.0,asian,690,25.22,1.0116,35.36,-4.18,3366,26.35,1.0734,68.21,268.35,4056,2001,2055,5.085059171597633
M5,13,34,89,1.0,3.0,asian,580,25.69,1.0371,23.14,7.53,2863,26.3,1.0706,54.77,186.21,3443,1706,1737,5.233691548068545
M5,8,34,55,1.0,3.0,asian,732,24.86,0.9927,46.63,-13.76,3483,26.3,1.0705,55.13,258.46,4215,2045,2170,5.165266903914591
M5,5,34,89,1.0,3.0,asian,820,26.95,1.1068,25.64,66.92,4056,26.26,1.0682,59.1,313.53,4876,2416,2460,5.1177194421657095
M5,5,34,55,1.5,3.0,asian,860,25.58,1.0312,42.95,7.33,4176,26.25,1.0675,59.91,322.67,5036,2463,2573,11.236616362192215
M5,13,21,55,1.0,4.0,asian,785,20.51,1.0321,43.5,4.41,3717,20.96,1.0606,68.72,178.72,4502,2215,2287,6.6348733896046195
M5,13,34,55,1.0,3.0,asian,621,25.28,1.0151,34.55,-2.24,2980,26.11,1.0599,53.22,137.72,3601,1756,1845,5.231019161344071
M5,13,21,89,1.5,3.0,asian,734,24.52,0.9747,42.84,-21.91,3513,26.1,1.0597,55.51,175.87,4247,2091,2156,11.017282787850247
M5,13,21,89,1.5,4.0,asian,734,19.35,0.9595,49.55,-31.65,3513,20.89,1.0569,57.51,138.25,4247,2091,2156,14.541959029903461
