strategy_family,tf,smooth_period,d1_period,d2_period,d1_threshold,d2_threshold,sl_atr_mult,rr,vol_lookback,vol_threshold,train_gate_coverage_pct,train_base_trades,train_base_win_rate,train_base_profit_factor,train_base_max_drawdown_pct,train_base_pnl_pct,train_gated_trades,train_gated_win_rate,train_gated_profit_factor,train_gated_max_drawdown_pct,train_gated_pnl_pct,train_delta_profit_factor,train_delta_drawdown_pct,train_delta_pnl_pct,train_trade_reduction_pct,oos_gate_coverage_pct,oos_base_trades,oos_base_win_rate,oos_base_profit_factor,oos_base_max_drawdown_pct,oos_base_pnl_pct,oos_gated_trades,oos_gated_win_rate,oos_gated_profit_factor,oos_gated_max_drawdown_pct,oos_gated_pnl_pct,oos_delta_profit_factor,oos_delta_drawdown_pct,oos_delta_pnl_pct,oos_trade_reduction_pct,rsi_period,ob_level,os_level,entry_mode
rsi_low_vol,M15,,,,,,1.5,3.0,100,0.3,30.26,288,22.57,0.8395,41.23,-33.73,20,10.0,0.3049,12.71,-12.71,-0.5346,-28.52,21.02,93.06,30.47,1470,24.29,0.9129,78.34,-70.61,124,29.03,1.1075,13.36,8.52,0.1946,-64.98,79.13,91.56,21.0,70.0,30.0,touch
rsi_low_vol,M5,,,,,,1.5,2.0,200,0.3,40.13,220,34.09,0.9035,30.83,-16.09,50,30.0,0.7032,17.14,-11.58,-0.2003,-13.69,4.51,77.27,38.31,1230,34.55,0.9182,66.85,-57.06,248,41.13,1.0993,20.98,15.3,0.1811,-45.87,72.36,79.84,14.0,80.0,20.0,touch
rsi_low_vol,M5,,,,,,1.5,2.0,200,0.3,40.13,221,30.77,0.7819,43.55,-31.82,38,28.95,0.6706,14.3,-9.9,-0.1113,-29.25,21.92,82.81,38.31,1230,33.5,0.8822,71.76,-69.03,211,39.34,1.0267,26.51,1.72,0.1445,-45.25,70.75,82.85,14.0,80.0,20.0,cross
rsi_low_vol,M5,,,,,,1.5,3.0,200,0.2,29.49,475,24.63,0.8771,57.76,-42.18,50,20.0,0.6131,23.46,-16.89,-0.264,-34.3,25.29,89.47,27.25,2161,24.99,0.8941,90.78,-88.79,170,30.0,1.0371,21.41,2.36,0.143,-69.37,91.15,92.13,21.0,70.0,20.0,cross
rsi_low_vol,M15,,,,,,1.5,2.0,100,0.3,30.26,288,31.94,0.8842,32.53,-23.24,20,15.0,0.3183,11.8,-11.8,-0.5659,-20.73,11.44,93.06,30.47,1470,32.86,0.9107,70.38,-65.71,124,37.1,1.0499,14.2,2.95,0.1392,-56.18,68.66,91.56,21.0,70.0,30.0,touch
derivative_high_vol,M15,20.0,8.0,4.0,0.05,0.0,1.0,2.0,200,0.8,19.54,1083,32.96,0.8675,75.15,-68.45,200,41.5,1.3158,8.33,44.24,0.4483,-66.82,112.69,81.53,19.39,5262,32.57,0.847,99.86,-99.84,1007,34.76,0.9837,46.25,-19.35,0.1367,-53.61,80.49,80.86,,,,
derivative_high_vol,M15,20.0,4.0,2.0,0.1,0.0,1.0,2.0,200,0.8,19.54,1596,34.59,0.9336,73.26,-59.91,279,41.22,1.2993,9.55,62.46,0.3657,-63.71,122.37,82.52,19.39,7805,32.83,0.8561,99.99,-99.99,1419,34.88,0.9892,47.1,-22.09,0.1331,-52.89,77.9,81.82,,,,
derivative_high_vol,M15,20.0,8.0,4.0,0.05,0.0,1.0,2.0,100,0.8,19.25,1083,32.96,0.8675,75.15,-68.45,192,39.06,1.1877,13.92,23.41,0.3202,-61.23,91.86,82.27,18.66,5262,32.57,0.847,99.86,-99.84,957,34.27,0.9617,47.16,-29.55,0.1147,-52.7,70.29,81.81,,,,
derivative_high_vol,M15,20.0,8.0,4.0,0.05,0.0,1.0,3.0,200,0.8,19.54,1083,25.76,0.9318,69.69,-53.23,200,30.5,1.2315,12.03,35.61,0.2997,-57.66,88.84,81.53,19.39,5262,24.44,0.8639,99.9,-99.87,1007,25.92,0.978,57.03,-27.8,0.1141,-42.87,72.07,80.86,,,,
derivative_high_vol,M15,20.0,4.0,4.0,0.1,0.0,1.0,2.0,200,0.8,19.54,1432,34.5,0.9293,69.25,-57.93,254,40.55,1.2634,9.76,47.76,0.3341,-59.49,105.69,82.26,19.39,7065,32.82,0.8559,99.98,-99.97,1295,34.44,0.97,49.37,-32.9,0.1141,-50.61,67.07,81.67,,,,
