strategy_family,tf,smooth_period,d1_period,d2_period,d1_threshold,d2_threshold,sl_atr_mult,rr,vol_lookback,vol_threshold,train_gate_coverage_pct,train_base_trades,train_base_win_rate,train_base_profit_factor,train_base_max_drawdown_pct,train_base_pnl_pct,train_gated_trades,train_gated_win_rate,train_gated_profit_factor,train_gated_max_drawdown_pct,train_gated_pnl_pct,train_delta_profit_factor,train_delta_drawdown_pct,train_delta_pnl_pct,train_trade_reduction_pct,oos_gate_coverage_pct,oos_base_trades,oos_base_win_rate,oos_base_profit_factor,oos_base_max_drawdown_pct,oos_base_pnl_pct,oos_gated_trades,oos_gated_win_rate,oos_gated_profit_factor,oos_gated_max_drawdown_pct,oos_gated_pnl_pct,oos_delta_profit_factor,oos_delta_drawdown_pct,oos_delta_pnl_pct,oos_trade_reduction_pct
derivative_high_vol,M15,20,4,2,0.1,0.0,1.0,2.0,200,0.8,19.54,1596,34.77,1.0663,38.07,69.56,279,41.22,1.4024,7.95,87.58,0.3361,-30.12,18.02,82.52,19.39,7805,33.3,0.9987,86.15,-57.04,1419,35.52,1.1028,24.72,121.34,0.1041,-61.43,178.38,81.82
derivative_high_vol,M15,20,8,4,0.05,0.0,1.0,2.0,200,0.8,19.54,1083,33.06,0.9876,59.29,-17.89,200,41.5,1.4188,7.75,59.64,0.4312,-51.54,77.53,81.53,19.39,5262,33.01,0.9858,83.26,-63.95,1007,35.15,1.0859,26.9,57.98,0.1001,-56.36,121.93,80.86
derivative_high_vol,M15,20,8,4,0.05,0.0,1.0,2.0,100,0.8,19.25,1083,33.06,0.9876,59.29,-17.89,192,39.06,1.2821,12.46,36.25,0.2945,-46.83,54.14,82.27,18.66,5262,33.01,0.9858,83.26,-63.95,957,34.9,1.074,22.91,43.73,0.0882,-60.35,107.68,81.81
derivative_high_vol,M15,20,8,4,0.05,0.0,1.0,3.0,100,0.7,29.07,1083,25.85,1.0461,49.4,22.88,292,31.51,1.38,16.1,103.27,0.3339,-33.3,80.39,73.04,28.95,5262,24.71,0.9846,86.76,-74.92,1490,26.31,1.072,37.2,75.39,0.0874,-49.56,150.31,71.68
derivative_high_vol,M15,20,4,4,0.1,0.0,1.0,2.0,200,0.8,19.54,1432,34.71,1.0631,35.9,56.02,254,40.55,1.3642,8.03,68.55,0.3011,-27.87,12.53,82.26,19.39,7065,33.31,0.9989,88.36,-52.84,1295,35.14,1.0846,24.52,78.24,0.0857,-63.84,131.08,81.67
derivative_high_vol,M15,20,8,4,0.05,0.0,1.0,3.0,200,0.8,19.54,1083,25.85,1.0461,49.4,22.88,200,30.5,1.3165,11.41,50.09,0.2704,-37.99,27.21,81.53,19.39,5262,24.71,0.9846,86.76,-74.92,1007,26.22,1.0674,41.09,41.36,0.0828,-45.67,116.28,80.86
derivative_high_vol,M15,20,4,2,0.05,0.0,1.0,2.0,200,0.8,19.54,1590,35.03,1.0784,32.17,91.18,281,37.72,1.2114,13.23,40.53,0.133,-18.94,-50.65,82.33,19.39,7910,33.25,0.9964,89.82,-62.27,1438,34.98,1.0771,47.96,77.48,0.0807,-41.86,139.75,81.82
derivative_high_vol,M15,20,8,4,0.1,0.0,1.0,2.0,200,0.8,19.54,1067,33.65,1.0141,39.9,-0.65,200,41.5,1.4188,8.73,59.64,0.4047,-31.17,60.29,81.26,19.39,5198,33.38,1.0023,76.19,-35.38,992,35.08,1.0824,24.2,53.56,0.0801,-51.99,88.94,80.92
derivative_high_vol,M15,20,4,2,0.1,0.0,1.0,3.0,200,0.8,19.54,1596,25.88,1.0473,55.7,37.47,279,30.82,1.3368,12.25,82.64,0.2895,-43.45,45.17,82.52,19.39,7805,24.5,0.9735,94.74,-93.28,1419,25.86,1.0476,34.09,33.0,0.0741,-60.65,126.28,81.82
derivative_high_vol,M5,20,4,4,0.05,0.0,1.0,4.0,50,0.8,28.57,4603,19.16,0.9484,98.34,-93.89,1269,19.54,0.9716,60.57,-41.41,0.0232,-37.77,52.48,72.43,28.48,22202,19.35,0.9601,100.0,-100.0,6338,20.48,1.0302,79.52,29.02,0.0701,-20.48,129.02,71.45
derivative_high_vol,M15,20,8,2,0.1,0.0,1.0,2.0,200,0.8,19.54,1117,34.2,1.0395,37.62,19.44,209,41.15,1.3984,9.64,59.49,0.3589,-27.98,40.05,81.29,19.39,5490,33.21,0.9945,83.35,-52.5,1049,34.7,1.0643,27.78,39.62,0.0698,-55.57,92.12,80.89
derivative_high_vol,M15,20,8,2,0.05,0.0,1.0,2.0,200,0.8,19.54,1128,33.42,1.004,58.56,-7.89,207,41.06,1.3934,7.86,57.95,0.3894,-50.7,65.84,81.65,19.39,5581,33.06,0.988,84.48,-63.29,1068,34.55,1.0573,33.28,33.91,0.0693,-51.2,97.2,80.86
derivative_high_vol,M15,20,8,4,0.05,0.0,1.0,4.0,100,0.7,29.07,1083,20.5,1.0314,47.01,5.51,292,23.63,1.2377,17.61,59.2,0.2063,-29.4,53.69,73.04,28.95,5262,19.9,0.9945,92.94,-71.57,1490,20.94,1.063,42.69,54.92,0.0685,-50.25,126.49,71.68
derivative_high_vol,M5,20,8,4,0.05,0.0,1.0,4.0,50,0.8,28.57,3366,19.22,0.9518,95.46,-85.79,961,18.83,0.9282,69.33,-52.3,-0.0236,-26.13,33.49,71.45,28.48,16310,19.52,0.9701,99.95,-99.91,4688,20.61,1.0384,78.04,63.22,0.0683,-21.91,163.13,71.26
derivative_high_vol,M5,20,4,4,0.05,0.0,1.0,4.0,100,0.8,29.19,4603,19.16,0.9484,98.34,-93.89,1257,20.29,1.018,50.4,-6.68,0.0696,-47.94,87.21,72.69,28.11,22202,19.35,0.9601,100.0,-100.0,6045,20.41,1.0264,83.81,6.85,0.0663,-16.19,106.85,72.77
derivative_high_vol,M5,20,8,4,0.1,0.0,1.0,4.0,50,0.8,28.57,3353,19.5,0.9692,93.9,-77.13,944,19.92,0.9947,58.79,-20.11,0.0255,-35.11,57.02,71.85,28.48,16280,19.41,0.9636,99.98,-99.96,4702,20.46,1.0292,83.58,16.43,0.0656,-16.4,116.39,71.12
derivative_high_vol,M5,20,8,2,0.05,0.0,1.0,4.0,50,0.8,28.57,3529,19.18,0.9495,96.27,-87.89,1011,18.99,0.9377,67.08,-50.38,-0.0118,-29.19,37.51,71.35,28.48,17192,19.64,0.9776,99.92,-99.84,4915,20.67,1.0426,77.89,95.82,0.065,-22.03,195.66,71.41
derivative_high_vol,M5,20,4,2,0.05,0.0,1.0,4.0,50,0.8,28.57,5075,19.33,0.9587,98.48,-93.01,1410,19.43,0.9648,69.01,-48.87,0.0061,-29.47,44.14,72.22,28.48,24560,19.42,0.964,100.0,-100.0,7022,20.42,1.0265,78.61,8.46,0.0625,-21.39,108.46,71.41
derivative_high_vol,M15,20,4,4,0.05,0.0,1.0,2.0,200,0.8,19.54,1426,35.13,1.0832,34.59,86.74,252,36.9,1.1698,11.44,27.59,0.0866,-23.15,-59.15,82.33,19.39,7132,33.17,0.9931,89.24,-64.54,1298,34.51,1.0554,41.15,40.33,0.0623,-48.09,104.87,81.8
derivative_high_vol,M5,20,4,4,0.1,0.0,1.0,4.0,50,0.8,28.57,4559,18.84,0.9289,99.03,-96.94,1284,20.02,1.001,65.09,-21.49,0.0721,-33.94,75.45,71.84,28.48,22101,19.74,0.9837,99.97,-99.92,6357,20.72,1.0452,72.48,171.82,0.0615,-27.49,271.74,71.24
derivative_high_vol,M15,20,8,4,0.05,0.0,1.0,3.0,200,0.7,29.52,1083,25.85,1.0461,49.4,22.88,284,29.23,1.2388,13.99,54.23,0.1927,-35.41,31.35,73.78,29.35,5262,24.71,0.9846,86.76,-74.92,1506,25.83,1.0457,45.16,32.6,0.0611,-41.6,107.52,71.38
derivative_high_vol,M5,20,4,4,0.1,0.0,1.0,4.0,100,0.8,29.19,4559,18.84,0.9289,99.03,-96.94,1271,20.46,1.0287,54.46,3.72,0.0998,-44.57,100.66,72.12,28.11,22101,19.74,0.9837,99.97,-99.92,6051,20.71,1.0448,68.83,153.98,0.0611,-31.14,253.9,72.62
derivative_high_vol,M15,20,8,4,0.05,0.0,1.0,3.0,100,0.8,19.25,1083,25.85,1.0461,49.4,22.88,192,30.73,1.3308,11.41,50.27,0.2847,-37.99,27.39,82.27,18.66,5262,24.71,0.9846,86.76,-74.92,957,25.81,1.0451,33.19,19.16,0.0605,-53.57,94.08,81.81
derivative_high_vol,M15,20,8,4,0.1,0.0,1.0,2.0,100,0.8,19.25,1067,33.65,1.0141,39.9,-0.65,195,39.49,1.3051,12.46,40.34,0.291,-27.44,40.99,81.72,18.66,5198,33.38,1.0023,76.19,-35.38,955,34.66,1.0626,30.95,34.09,0.0603,-45.24,69.47,81.63
derivative_high_vol,M15,20,8,2,0.05,0.0,1.0,3.0,100,0.7,29.07,1128,26.15,1.0624,48.55,41.61,302,30.79,1.3349,19.46,91.26,0.2725,-29.09,49.65,73.23,28.95,5581,24.58,0.9781,91.49,-82.4,1584,25.69,1.0383,47.63,23.52,0.0602,-43.86,105.92,71.62
derivative_high_vol,M5,20,4,4,0.05,0.0,1.0,4.0,50,0.7,34.8,4603,19.16,0.9484,98.34,-93.89,1525,19.34,0.9593,64.96,-54.7,0.0109,-33.38,39.19,66.87,34.52,22202,19.35,0.9601,100.0,-100.0,7632,20.32,1.0202,89.37,-24.78,0.0601,-10.63,75.22,65.62
derivative_high_vol,M5,20,4,4,0.05,0.0,1.5,3.0,100,0.8,29.19,4603,24.11,0.9539,96.28,-89.72,1257,25.62,1.0332,31.26,12.85,0.0793,-65.02,102.57,72.69,28.11,22202,24.04,0.9504,100.0,-100.0,6045,25.13,1.0104,75.42,-34.77,0.06,-24.58,65.23,72.77
derivative_high_vol,M5,20,4,4,0.05,0.0,1.0,3.0,200,0.7,38.83,4603,23.7,0.9322,98.24,-95.21,1704,24.47,0.972,73.78,-45.6,0.0398,-24.46,49.61,62.98,38.53,22202,24.17,0.9562,100.0,-100.0,8318,25.28,1.0151,81.94,-25.97,0.0589,-18.06,74.03,62.53
derivative_high_vol,M5,20,4,4,0.05,0.0,1.0,4.0,200,0.7,38.83,4603,19.16,0.9484,98.34,-93.89,1704,20.25,1.0155,66.07,-11.95,0.0671,-32.27,81.94,62.98,38.53,22202,19.35,0.9601,100.0,-100.0,8318,20.29,1.0187,92.94,-33.57,0.0586,-7.06,66.43,62.53
derivative_high_vol,M15,20,8,2,0.05,0.0,1.0,3.0,200,0.8,19.54,1128,26.15,1.0624,48.55,41.61,207,29.95,1.2828,12.3,45.55,0.2204,-36.25,3.94,81.65,19.39,5581,24.58,0.9781,91.49,-82.4,1068,25.66,1.0366,44.9,13.79,0.0585,-46.59,96.19,80.86
derivative_high_vol,M15,20,8,4,0.1,0.0,1.0,3.0,50,0.8,34.16,1067,26.15,1.0622,34.94,38.71,379,28.76,1.2111,17.48,66.25,0.1489,-17.46,27.54,64.48,32.99,5198,24.93,0.9967,84.96,-59.27,1826,26.01,1.0548,43.41,58.79,0.0581,-41.55,118.06,64.87
derivative_high_vol,M5,20,8,2,0.05,0.0,1.5,3.0,50,0.8,28.57,3529,24.54,0.9756,88.94,-68.84,1011,24.43,0.9699,47.72,-31.44,-0.0057,-41.22,37.4,71.35,28.48,17192,24.13,0.9548,99.98,-99.98,4915,25.21,1.0128,84.8,-23.0,0.058,-15.18,76.98,71.41
derivative_high_vol,M5,20,4,4,0.05,0.0,1.5,2.0,200,0.8,30.54,4603,31.7,0.9284,96.58,-93.25,1327,33.16,0.9921,54.04,-18.25,0.0637,-42.54,75.0,71.17,28.57,22202,32.13,0.9467,100.0,-100.0,6116,33.44,1.0047,67.18,-34.2,0.058,-32.82,65.8,72.45
derivative_high_vol,M5,20,4,4,0.1,0.0,1.5,4.0,100,0.8,29.19,4559,18.56,0.9139,99.09,-98.23,1271,20.06,1.0109,63.25,-13.02,0.097,-35.84,85.21,72.12,28.11,22101,19.01,0.942,100.0,-100.0,6051,19.85,0.999,83.58,-70.71,0.057,-16.42,29.29,72.62
derivative_high_vol,M5,20,8,4,0.05,0.0,1.0,2.0,100,0.8,29.19,3366,32.59,0.9669,78.75,-66.07,941,33.9,1.0257,38.23,6.79,0.0588,-40.52,72.86,72.04,28.11,16310,33.1,0.9894,98.06,-93.76,4458,34.34,1.0461,65.83,146.08,0.0567,-32.23,239.84,72.67
derivative_high_vol,M5,20,4,2,0.05,0.0,1.0,4.0,50,0.7,34.8,5075,19.33,0.9587,98.48,-93.01,1685,19.11,0.945,74.63,-65.68,-0.0137,-23.85,27.33,66.8,34.52,24560,19.42,0.964,100.0,-100.0,8438,20.32,1.0204,88.04,-26.28,0.0564,-11.96,73.72,65.64
derivative_high_vol,M5,20,4,4,0.1,0.0,1.5,3.0,100,0.8,29.19,4559,23.91,0.9429,97.67,-92.83,1271,26.2,1.065,35.48,51.57,0.1221,-62.19,144.4,72.12,28.11,22101,24.08,0.9527,100.0,-100.0,6051,25.1,1.0091,69.73,-38.58,0.0564,-30.27,61.42,72.62
derivative_high_vol,M15,20,8,2,0.1,0.0,1.0,3.0,200,0.8,19.54,1117,26.59,1.0866,33.82,71.2,209,28.23,1.18,15.21,26.67,0.0934,-18.61,-44.53,81.29,19.39,5490,24.63,0.9804,91.46,-80.11,1049,25.64,1.0359,29.99,12.99,0.0555,-61.47,93.1,80.89
derivative_high_vol,M5,20,8,4,0.05,0.0,1.5,3.0,50,0.8,28.57,3366,24.69,0.9834,86.32,-59.92,961,24.56,0.9766,47.57,-26.7,-0.0068,-38.75,33.22,71.45,28.48,16310,24.04,0.9503,99.98,-99.98,4688,25.06,1.0051,82.03,-40.25,0.0548,-17.95,59.73,71.26
derivative_high_vol,M5,20,4,2,0.05,0.0,1.5,4.0,100,0.8,29.19,5075,18.96,0.9381,98.8,-96.97,1393,19.81,0.9946,65.63,-28.18,0.0565,-33.17,68.79,72.55,28.11,24560,19.06,0.9452,100.0,-100.0,6695,19.87,0.9998,84.75,-73.13,0.0546,-15.25,26.87,72.74
derivative_high_vol,M5,20,8,2,0.05,0.0,1.0,2.0,100,0.8,29.19,3529,32.56,0.9655,82.37,-68.86,986,34.38,1.0479,40.71,23.43,0.0824,-41.66,92.29,72.06,28.11,17192,33.27,0.9969,97.53,-87.21,4680,34.44,1.0508,64.56,196.66,0.0539,-32.97,283.87,72.78
derivative_high_vol,M5,20,8,4,0.05,0.0,1.0,2.0,50,0.8,28.57,3366,32.59,0.9669,78.75,-66.07,961,32.36,0.9569,50.38,-31.21,-0.01,-28.37,34.86,71.45,28.48,16310,33.1,0.9894,98.06,-93.76,4688,34.28,1.0432,56.47,135.78,0.0538,-41.59,229.54,71.26
derivative_high_vol,M15,20,8,4,0.1,0.0,1.0,3.0,200,0.8,19.54,1067,26.15,1.0622,34.94,38.71,200,29.0,1.2254,11.36,33.28,0.1632,-23.58,-5.43,81.26,19.39,5198,24.93,0.9967,84.96,-59.27,992,25.91,1.0504,31.99,24.57,0.0537,-52.97,83.84,80.92
