strategy_family,tf,smooth_period,d1_period,d2_period,d1_threshold,d2_threshold,sl_atr_mult,rr,vol_lookback,vol_threshold,train_gate_coverage_pct,train_base_trades,train_base_win_rate,train_base_profit_factor,train_base_max_drawdown_pct,train_base_pnl_pct,train_gated_trades,train_gated_win_rate,train_gated_profit_factor,train_gated_max_drawdown_pct,train_gated_pnl_pct,train_delta_profit_factor,train_delta_drawdown_pct,train_delta_pnl_pct,train_trade_reduction_pct,oos_gate_coverage_pct,oos_base_trades,oos_base_win_rate,oos_base_profit_factor,oos_base_max_drawdown_pct,oos_base_pnl_pct,oos_gated_trades,oos_gated_win_rate,oos_gated_profit_factor,oos_gated_max_drawdown_pct,oos_gated_pnl_pct,oos_delta_profit_factor,oos_delta_drawdown_pct,oos_delta_pnl_pct,oos_trade_reduction_pct
derivative_high_vol,M5,20,4,4,0.05,0.0,1.0,2.0,200,0.7,38.83,4603,31.59,0.7279,100.0,-100.0,1704,32.75,0.841,90.75,-88.61,0.1131,-9.25,11.39,62.98,38.53,22202,32.09,0.7308,100.0,-100.0,8318,33.18,0.844,100.0,-100.0,0.1132,0.0,0.0,62.53
derivative_high_vol,M5,20,8,4,0.05,0.0,1.0,2.0,100,0.8,29.19,3366,32.47,0.7581,99.89,-99.88,941,33.79,0.8721,64.89,-62.38,0.114,-35.0,37.5,72.04,28.11,16310,32.72,0.7521,100.0,-100.0,4458,33.96,0.8642,99.32,-99.28,0.1121,-0.68,0.72,72.67
derivative_high_vol,M5,20,4,4,0.05,0.0,1.0,3.0,200,0.7,38.83,4603,23.59,0.7518,100.0,-100.0,1704,24.41,0.8514,93.1,-90.49,0.0996,-6.9,9.51,62.98,38.53,22202,23.95,0.7544,100.0,-100.0,8318,24.98,0.8657,100.0,-100.0,0.1113,0.0,0.0,62.53
derivative_high_vol,M5,20,4,4,0.05,0.0,1.0,4.0,100,0.8,29.19,4603,19.07,0.7762,100.0,-100.0,1257,20.29,0.8958,80.04,-75.48,0.1196,-19.96,24.52,72.69,28.11,22202,19.14,0.7682,100.0,-100.0,6045,20.22,0.8782,99.96,-99.96,0.11,-0.04,0.04,72.77
derivative_high_vol,M5,20,8,2,0.05,0.0,1.0,2.0,100,0.8,29.19,3529,32.42,0.7562,99.93,-99.92,986,34.28,0.8921,63.04,-58.29,0.1359,-36.89,41.63,72.06,28.11,17192,32.86,0.7567,100.0,-100.0,4680,34.02,0.8663,99.41,-99.39,0.1096,-0.59,0.61,72.78
derivative_high_vol,M5,20,4,4,0.1,0.0,1.0,4.0,100,0.8,29.19,4559,18.78,0.7612,100.0,-100.0,1271,20.46,0.9041,78.89,-73.5,0.1429,-21.11,26.5,72.12,28.11,22101,19.53,0.7873,100.0,-100.0,6051,20.54,0.8959,99.9,-99.89,0.1086,-0.1,0.11,72.62
derivative_high_vol,M5,20,4,2,0.05,0.0,1.0,2.0,200,0.7,38.83,5075,31.9,0.7379,100.0,-100.0,1865,33.3,0.8619,89.62,-87.44,0.124,-10.38,12.56,63.25,38.53,24560,32.22,0.7353,100.0,-100.0,9220,33.08,0.84,100.0,-100.0,0.1047,0.0,0.0,62.46
derivative_high_vol,M5,20,4,4,0.05,0.0,1.5,2.0,200,0.8,30.54,4603,31.59,0.7867,99.97,-99.96,1327,33.08,0.9009,77.23,-65.59,0.1142,-22.74,34.37,71.17,28.57,22202,31.93,0.7887,100.0,-100.0,6116,33.13,0.8928,99.54,-99.5,0.1041,-0.46,0.5,72.45
derivative_high_vol,M5,20,4,4,0.1,0.0,1.0,3.0,200,0.7,38.83,4559,23.86,0.7631,100.0,-100.0,1689,24.39,0.8494,93.66,-90.59,0.0863,-6.34,9.41,62.95,38.53,22101,24.32,0.7693,100.0,-100.0,8247,25.15,0.873,100.0,-100.0,0.1037,0.0,0.0,62.68
derivative_high_vol,M5,20,4,4,0.1,0.0,1.0,2.0,200,0.7,38.83,4559,32.31,0.7522,99.99,-99.99,1689,32.8,0.8418,90.65,-88.27,0.0896,-9.34,11.72,62.95,38.53,22101,32.55,0.7461,100.0,-100.0,8247,33.33,0.8494,100.0,-100.0,0.1033,0.0,0.0,62.68
derivative_high_vol,M5,20,4,4,0.05,0.0,1.0,3.0,200,0.8,30.54,4603,23.59,0.7518,100.0,-100.0,1327,24.04,0.8401,90.08,-85.85,0.0883,-9.92,14.15,71.17,28.57,22202,23.95,0.7544,100.0,-100.0,6116,24.67,0.8573,99.97,-99.97,0.1029,-0.03,0.03,72.45
derivative_high_vol,M5,20,4,4,0.05,0.0,1.0,4.0,200,0.7,38.83,4603,19.07,0.7762,100.0,-100.0,1704,20.19,0.8967,90.21,-84.75,0.1205,-9.79,15.25,62.98,38.53,22202,19.14,0.7682,100.0,-100.0,8318,19.92,0.871,100.0,-100.0,0.1028,0.0,0.0,62.53
derivative_high_vol,M5,20,8,2,0.1,0.0,1.0,2.0,200,0.7,38.83,3525,32.62,0.7632,99.9,-99.9,1328,34.04,0.8895,70.12,-69.88,0.1263,-29.78,30.02,62.33,38.53,17153,32.7,0.7514,100.0,-100.0,6399,33.44,0.8541,99.95,-99.95,0.1027,-0.05,0.05,62.69
derivative_high_vol,M5,20,4,2,0.05,0.0,1.0,3.0,200,0.7,38.83,5075,23.74,0.7575,100.0,-100.0,1865,24.5,0.8554,93.81,-91.89,0.0979,-6.19,8.11,63.25,38.53,24560,24.07,0.7594,100.0,-100.0,9220,24.9,0.8619,100.0,-100.0,0.1025,0.0,0.0,62.46
derivative_high_vol,M5,20,4,4,0.05,0.0,1.0,2.0,200,0.8,30.54,4603,31.59,0.7279,100.0,-100.0,1327,32.55,0.8404,85.78,-81.63,0.1125,-14.22,18.37,71.17,28.57,22202,32.09,0.7308,100.0,-100.0,6116,32.7,0.8324,99.98,-99.97,0.1016,-0.02,0.03,72.45
derivative_high_vol,M5,20,4,2,0.1,0.0,1.0,2.0,200,0.7,38.83,5000,32.5,0.7589,100.0,-100.0,1843,33.48,0.868,89.46,-85.99,0.1091,-10.54,14.01,63.14,38.53,24252,32.54,0.7457,100.0,-100.0,9046,33.25,0.8463,100.0,-100.0,0.1006,0.0,0.0,62.7
derivative_high_vol,M5,20,8,2,0.05,0.0,1.0,2.0,200,0.7,38.83,3529,32.42,0.7562,99.93,-99.92,1333,33.08,0.8525,80.8,-79.42,0.0963,-19.13,20.5,62.23,38.53,17192,32.86,0.7567,100.0,-100.0,6393,33.49,0.8557,99.95,-99.94,0.099,-0.05,0.06,62.81
derivative_high_vol,M5,20,4,2,0.05,0.0,1.0,4.0,200,0.7,38.83,5075,19.25,0.7846,100.0,-100.0,1865,20.38,0.907,89.95,-84.89,0.1224,-10.05,15.11,63.25,38.53,24560,19.22,0.7722,100.0,-100.0,9220,19.92,0.871,100.0,-100.0,0.0988,0.0,0.0,62.46
derivative_high_vol,M5,20,4,4,0.1,0.0,1.0,4.0,200,0.7,38.83,4559,18.78,0.7612,100.0,-100.0,1689,19.72,0.8696,93.36,-89.71,0.1084,-6.64,10.29,62.95,38.53,22101,19.53,0.7873,100.0,-100.0,8247,20.19,0.8857,100.0,-100.0,0.0984,0.0,0.0,62.68
derivative_high_vol,M5,20,4,4,0.05,0.0,1.0,4.0,50,0.8,28.57,4603,19.07,0.7762,100.0,-100.0,1269,19.54,0.8377,89.55,-87.88,0.0615,-10.45,12.12,72.43,28.48,22202,19.14,0.7682,100.0,-100.0,6338,20.32,0.866,99.99,-99.99,0.0978,-0.01,0.01,71.45
derivative_high_vol,M5,20,8,4,0.05,0.0,1.0,4.0,50,0.8,28.57,3366,19.19,0.7822,99.97,-99.95,961,18.83,0.7995,87.36,-85.65,0.0173,-12.61,14.3,71.45,28.48,16310,19.33,0.7775,100.0,-100.0,4688,20.46,0.8747,99.86,-99.81,0.0972,-0.14,0.19,71.26
derivative_high_vol,M5,20,8,4,0.1,0.0,1.0,2.0,100,0.8,29.19,3353,32.69,0.7655,99.85,-99.85,934,35.22,0.9289,47.35,-43.6,0.1634,-52.5,56.25,72.14,28.11,16280,32.6,0.7481,100.0,-100.0,4444,33.46,0.8449,99.64,-99.62,0.0968,-0.36,0.38,72.7
derivative_high_vol,M5,20,4,2,0.05,0.0,1.0,4.0,100,0.8,29.19,5075,19.25,0.7846,100.0,-100.0,1393,20.24,0.8919,83.44,-79.96,0.1073,-16.56,20.04,72.55,28.11,24560,19.22,0.7722,100.0,-100.0,6695,20.04,0.8686,99.99,-99.99,0.0964,-0.01,0.01,72.74
derivative_high_vol,M5,20,8,4,0.05,0.0,1.0,4.0,100,0.8,29.19,3366,19.19,0.7822,99.97,-99.95,941,20.51,0.9067,69.43,-61.77,0.1245,-30.54,38.18,72.04,28.11,16310,19.33,0.7775,100.0,-100.0,4458,20.1,0.8736,99.75,-99.73,0.0961,-0.25,0.27,72.67
derivative_high_vol,M5,20,8,4,0.1,0.0,1.0,2.0,200,0.7,38.83,3353,32.69,0.7655,99.85,-99.85,1266,33.73,0.8773,71.88,-71.66,0.1118,-27.97,28.19,62.24,38.53,16280,32.6,0.7481,100.0,-100.0,6071,33.17,0.844,99.96,-99.95,0.0959,-0.04,0.05,62.71
derivative_high_vol,M5,20,8,2,0.1,0.0,1.0,2.0,200,0.8,30.54,3525,32.62,0.7632,99.9,-99.9,1014,34.22,0.9046,55.85,-55.04,0.1414,-44.05,44.86,71.23,28.57,17153,32.7,0.7514,100.0,-100.0,4743,33.08,0.8471,99.73,-99.71,0.0957,-0.27,0.29,72.35
derivative_high_vol,M5,20,8,2,0.05,0.0,1.0,4.0,200,0.8,30.54,3529,19.16,0.7803,99.98,-99.97,1030,19.13,0.8434,84.72,-80.29,0.0631,-15.26,19.68,70.81,28.57,17192,19.44,0.7832,100.0,-100.0,4733,19.92,0.8785,99.77,-99.76,0.0953,-0.23,0.24,72.47
derivative_high_vol,M5,20,4,2,0.1,0.0,1.0,3.0,200,0.7,38.83,5000,24.12,0.7739,100.0,-100.0,1843,24.91,0.8732,92.91,-88.97,0.0993,-7.09,11.03,63.14,38.53,24252,24.26,0.767,100.0,-100.0,9046,24.92,0.8623,100.0,-100.0,0.0953,0.0,0.0,62.7
derivative_high_vol,M5,20,4,2,0.05,0.0,1.0,2.0,200,0.8,30.54,5075,31.9,0.7379,100.0,-100.0,1451,32.94,0.8554,84.47,-81.43,0.1175,-15.53,18.57,71.41,28.57,24560,32.22,0.7353,100.0,-100.0,6771,32.65,0.8306,99.99,-99.99,0.0953,-0.01,0.01,72.43
derivative_high_vol,M5,20,8,2,0.05,0.0,1.0,4.0,50,0.8,28.57,3529,19.16,0.7803,99.98,-99.97,1011,18.99,0.8083,87.57,-85.89,0.028,-12.41,14.08,71.35,28.48,17192,19.44,0.7832,100.0,-100.0,4915,20.53,0.8783,99.89,-99.83,0.0951,-0.11,0.17,71.41
derivative_high_vol,M5,20,4,4,0.1,0.0,1.0,2.0,100,0.7,36.17,4559,32.31,0.7522,99.99,-99.99,1543,32.66,0.8263,89.78,-88.39,0.0741,-10.21,11.6,66.15,35.6,22101,32.55,0.7461,100.0,-100.0,7732,33.46,0.8406,100.0,-100.0,0.0945,0.0,0.0,65.02
derivative_high_vol,M5,20,4,4,0.05,0.0,1.5,3.0,100,0.8,29.19,4603,24.01,0.8234,99.97,-99.95,1257,25.54,0.9382,66.88,-55.5,0.1148,-33.09,44.45,72.69,28.11,22202,23.87,0.8094,100.0,-100.0,6045,24.93,0.9038,99.68,-99.63,0.0944,-0.32,0.37,72.77
derivative_high_vol,M5,20,8,4,0.1,0.0,1.0,4.0,50,0.8,28.57,3353,19.45,0.795,99.94,-99.92,944,19.81,0.8515,82.57,-76.54,0.0565,-17.37,23.38,71.85,28.48,16280,19.21,0.7717,100.0,-100.0,4702,20.29,0.8661,99.91,-99.87,0.0944,-0.09,0.13,71.12
derivative_high_vol,M5,20,8,2,0.05,0.0,1.0,4.0,100,0.8,29.19,3529,19.16,0.7803,99.98,-99.97,986,20.59,0.9118,68.24,-61.82,0.1315,-31.74,38.15,72.06,28.11,17192,19.44,0.7832,100.0,-100.0,4680,20.17,0.8774,99.78,-99.77,0.0942,-0.22,0.23,72.78
derivative_high_vol,M5,20,8,2,0.1,0.0,1.0,4.0,200,0.8,30.54,3525,19.46,0.7956,99.96,-99.94,1014,19.82,0.8813,75.86,-71.5,0.0857,-24.1,28.44,71.23,28.57,17153,19.3,0.7762,100.0,-100.0,4743,19.78,0.8704,99.85,-99.83,0.0942,-0.15,0.17,72.35
derivative_high_vol,M5,20,4,2,0.05,0.0,1.5,2.0,200,0.8,30.54,5075,31.57,0.7855,99.99,-99.98,1451,32.94,0.8952,78.55,-70.67,0.1097,-21.44,29.31,71.41,28.57,24560,32.11,0.7953,100.0,-100.0,6771,33.02,0.8887,99.79,-99.77,0.0934,-0.21,0.23,72.43
derivative_high_vol,M5,20,8,4,0.1,0.0,1.0,4.0,100,0.8,29.19,3353,19.45,0.795,99.94,-99.92,934,21.31,0.9513,58.82,-44.54,0.1563,-41.12,55.38,72.14,28.11,16280,19.21,0.7717,100.0,-100.0,4444,19.94,0.8648,99.83,-99.81,0.0931,-0.17,0.19,72.7
derivative_high_vol,M5,20,4,4,0.1,0.0,1.5,3.0,100,0.8,29.19,4559,23.84,0.8156,99.98,-99.96,1271,26.12,0.9663,64.24,-41.32,0.1507,-35.74,58.64,72.12,28.11,22101,23.93,0.8119,100.0,-100.0,6051,24.95,0.9045,99.68,-99.62,0.0926,-0.32,0.38,72.62
derivative_high_vol,M5,20,4,4,0.1,0.0,1.0,4.0,50,0.8,28.57,4559,18.78,0.7612,100.0,-100.0,1284,20.02,0.8632,86.62,-84.01,0.102,-13.38,15.99,71.84,28.48,22101,19.53,0.7873,100.0,-100.0,6357,20.58,0.8797,99.97,-99.97,0.0924,-0.03,0.03,71.24
derivative_high_vol,M5,20,4,4,0.1,0.0,1.0,2.0,100,0.8,29.19,4559,32.31,0.7522,99.99,-99.99,1271,32.65,0.8286,84.05,-82.62,0.0764,-15.94,17.37,72.12,28.11,22101,32.55,0.7461,100.0,-100.0,6051,33.32,0.8383,99.97,-99.96,0.0922,-0.03,0.04,72.62
derivative_high_vol,M5,20,4,2,0.05,0.0,1.0,3.0,200,0.8,30.54,5075,23.74,0.7575,100.0,-100.0,1451,23.98,0.8375,90.89,-88.58,0.08,-9.11,11.42,71.41,28.57,24560,24.07,0.7594,100.0,-100.0,6771,24.55,0.8514,99.99,-99.99,0.092,-0.01,0.01,72.43
derivative_high_vol,M5,20,4,2,0.1,0.0,1.0,4.0,100,0.8,29.19,5000,19.2,0.7826,100.0,-100.0,1393,20.39,0.8994,82.09,-78.02,0.1168,-17.91,21.98,72.14,28.11,24252,19.47,0.7843,100.0,-100.0,6633,20.19,0.8761,99.98,-99.98,0.0918,-0.02,0.02,72.65
