strategy_family,tf,smooth_period,d1_period,d2_period,d1_threshold,d2_threshold,sl_atr_mult,rr,vol_lookback,vol_threshold,train_gate_coverage_pct,train_base_trades,train_base_win_rate,train_base_profit_factor,train_base_max_drawdown_pct,train_base_pnl_pct,train_gated_trades,train_gated_win_rate,train_gated_profit_factor,train_gated_max_drawdown_pct,train_gated_pnl_pct,train_delta_profit_factor,train_delta_drawdown_pct,train_delta_pnl_pct,train_trade_reduction_pct,oos_gate_coverage_pct,oos_base_trades,oos_base_win_rate,oos_base_profit_factor,oos_base_max_drawdown_pct,oos_base_pnl_pct,oos_gated_trades,oos_gated_win_rate,oos_gated_profit_factor,oos_gated_max_drawdown_pct,oos_gated_pnl_pct,oos_delta_profit_factor,oos_delta_drawdown_pct,oos_delta_pnl_pct,oos_trade_reduction_pct
derivative_high_vol,M15,20,8,4,0.05,0.0,1.0,2.0,200,0.8,19.54,1083,32.96,0.8675,75.15,-68.45,200,41.5,1.3158,8.33,44.24,0.4483,-66.82,112.69,81.53,19.39,5262,32.57,0.847,99.86,-99.84,1007,34.76,0.9837,46.25,-19.35,0.1367,-53.61,80.49,80.86
derivative_high_vol,M15,20,4,2,0.1,0.0,1.0,2.0,200,0.8,19.54,1596,34.59,0.9336,73.26,-59.91,279,41.22,1.2993,9.55,62.46,0.3657,-63.71,122.37,82.52,19.39,7805,32.83,0.8561,99.99,-99.99,1419,34.88,0.9892,47.1,-22.09,0.1331,-52.89,77.9,81.82
derivative_high_vol,M15,20,8,4,0.05,0.0,1.0,2.0,100,0.8,19.25,1083,32.96,0.8675,75.15,-68.45,192,39.06,1.1877,13.92,23.41,0.3202,-61.23,91.86,82.27,18.66,5262,32.57,0.847,99.86,-99.84,957,34.27,0.9617,47.16,-29.55,0.1147,-52.7,70.29,81.81
derivative_high_vol,M15,20,8,4,0.05,0.0,1.0,3.0,200,0.8,19.54,1083,25.76,0.9318,69.69,-53.23,200,30.5,1.2315,12.03,35.61,0.2997,-57.66,88.84,81.53,19.39,5262,24.44,0.8639,99.9,-99.87,1007,25.92,0.978,57.03,-27.8,0.1141,-42.87,72.07,80.86
derivative_high_vol,M15,20,4,4,0.1,0.0,1.0,2.0,200,0.8,19.54,1432,34.5,0.9293,69.25,-57.93,254,40.55,1.2634,9.76,47.76,0.3341,-59.49,105.69,82.26,19.39,7065,32.82,0.8559,99.98,-99.97,1295,34.44,0.97,49.37,-32.9,0.1141,-50.61,67.07,81.67
derivative_high_vol,M15,20,8,4,0.05,0.0,1.0,3.0,100,0.7,29.07,1083,25.76,0.9318,69.69,-53.23,292,31.51,1.2845,18.04,73.26,0.3527,-51.65,126.49,73.04,28.95,5262,24.44,0.8639,99.9,-99.87,1490,26.04,0.9776,63.87,-38.6,0.1137,-36.03,61.27,71.68
derivative_high_vol,M5,20,4,4,0.05,0.0,1.0,2.0,200,0.7,38.83,4603,31.59,0.7279,100.0,-100.0,1704,32.75,0.841,90.75,-88.61,0.1131,-9.25,11.39,62.98,38.53,22202,32.09,0.7308,100.0,-100.0,8318,33.18,0.844,100.0,-100.0,0.1132,0.0,0.0,62.53
derivative_high_vol,M15,20,4,2,0.05,0.0,1.0,2.0,200,0.8,19.54,1590,34.84,0.9441,63.71,-54.64,281,37.72,1.1227,15.15,21.69,0.1786,-48.56,76.33,82.33,19.39,7910,32.76,0.8532,99.99,-99.99,1438,34.35,0.9663,65.67,-38.12,0.1131,-34.32,61.87,81.82
derivative_high_vol,M5,20,8,4,0.05,0.0,1.0,2.0,100,0.8,29.19,3366,32.47,0.7581,99.89,-99.88,941,33.79,0.8721,64.89,-62.38,0.114,-35.0,37.5,72.04,28.11,16310,32.72,0.7521,100.0,-100.0,4458,33.96,0.8642,99.32,-99.28,0.1121,-0.68,0.72,72.67
derivative_high_vol,M5,20,4,4,0.05,0.0,1.0,3.0,200,0.7,38.83,4603,23.59,0.7518,100.0,-100.0,1704,24.41,0.8514,93.1,-90.49,0.0996,-6.9,9.51,62.98,38.53,22202,23.95,0.7544,100.0,-100.0,8318,24.98,0.8657,100.0,-100.0,0.1113,0.0,0.0,62.53
