strategy_family,tf,rsi_period,ob_level,os_level,entry_mode,sl_atr_mult,rr,vol_lookback,vol_threshold,train_gate_coverage_pct,train_base_trades,train_base_win_rate,train_base_profit_factor,train_base_max_drawdown_pct,train_base_pnl_pct,train_gated_trades,train_gated_win_rate,train_gated_profit_factor,train_gated_max_drawdown_pct,train_gated_pnl_pct,train_delta_profit_factor,train_delta_drawdown_pct,train_delta_pnl_pct,train_trade_reduction_pct,oos_gate_coverage_pct,oos_base_trades,oos_base_win_rate,oos_base_profit_factor,oos_base_max_drawdown_pct,oos_base_pnl_pct,oos_gated_trades,oos_gated_win_rate,oos_gated_profit_factor,oos_gated_max_drawdown_pct,oos_gated_pnl_pct,oos_delta_profit_factor,oos_delta_drawdown_pct,oos_delta_pnl_pct,oos_trade_reduction_pct
rsi_low_vol,M5,21,80,20,touch,1.5,2.0,50,0.2,36.77,31,54.84,2.1663,5.27,18.7,0,0.0,0.0,0.0,0.0,-2.1663,-5.27,-18.7,100.0,36.46,293,28.33,0.716,54.7,-48.45,1,100.0,inf,0.0,1.93,inf,-54.7,50.38,99.66
rsi_low_vol,M5,21,80,20,touch,1.5,2.0,100,0.2,33.09,31,54.84,2.1663,5.27,18.7,0,0.0,0.0,0.0,0.0,-2.1663,-5.27,-18.7,100.0,29.38,293,28.33,0.716,54.7,-48.45,2,100.0,inf,0.0,3.64,inf,-54.7,52.09,99.32
rsi_low_vol,M5,21,80,20,touch,1.5,3.0,50,0.2,36.77,31,38.71,1.7157,5.27,14.94,0,0.0,0.0,0.0,0.0,-1.7157,-5.27,-14.94,100.0,36.46,293,23.89,0.8632,45.71,-30.76,1,100.0,inf,0.0,2.93,inf,-45.71,33.69,99.66
rsi_low_vol,M5,21,80,20,touch,1.5,4.0,50,0.2,36.77,31,22.58,1.0596,9.26,0.88,0,0.0,0.0,0.0,0.0,-1.0596,-9.26,-0.88,100.0,36.46,293,20.48,0.9933,35.89,-7.31,1,100.0,inf,0.0,3.93,inf,-35.89,11.24,99.66
rsi_low_vol,M5,21,80,20,cross,1.5,4.0,200,0.2,29.49,31,19.35,0.8731,9.01,-3.91,1,0.0,0.0,1.08,-1.08,-0.8731,-7.93,2.83,96.77,27.25,293,20.48,1.0296,44.3,1.2,5,60.0,4.9023,1.22,9.33,3.8727,-43.08,8.13,98.29
rsi_low_vol,M15,21,80,20,cross,1.5,4.0,50,0.3,43.15,14,0.0,0.0,13.59,-13.59,0,0.0,0.0,0.0,0.0,0.0,-13.59,13.59,100.0,41.31,112,16.96,0.9806,14.9,-3.74,2,50.0,3.7565,1.04,2.83,2.7759,-13.86,6.57,98.21
rsi_low_vol,M5,21,80,20,touch,1.5,2.0,50,0.3,42.97,31,54.84,2.1663,5.27,18.7,0,0.0,0.0,0.0,0.0,-2.1663,-5.27,-18.7,100.0,42.75,293,28.33,0.716,54.7,-48.45,3,66.67,3.4724,1.06,2.62,2.7564,-53.64,51.07,98.98
rsi_low_vol,M5,21,80,20,cross,1.5,3.0,200,0.2,29.49,31,22.58,0.7896,11.2,-5.66,1,0.0,0.0,1.08,-1.08,-0.7896,-10.12,4.58,96.77,27.25,293,26.28,0.9978,43.87,-4.84,5,60.0,3.6228,1.22,6.2,2.625,-42.65,11.04,98.29
rsi_low_vol,M5,21,80,20,cross,1.5,4.0,50,0.2,36.77,31,19.35,0.8731,9.01,-3.91,0,0.0,0.0,0.0,0.0,-0.8731,-9.01,3.91,100.0,36.46,293,20.48,1.0296,44.3,1.2,4,50.0,3.6143,2.15,5.64,2.5847,-42.15,4.44,98.63
rsi_low_vol,M15,14,80,20,cross,1.5,3.0,200,0.2,21.04,68,22.06,0.8046,21.41,-11.05,0,0.0,0.0,0.0,0.0,-0.8046,-21.41,11.05,100.0,21.32,501,24.55,0.9295,37.78,-29.53,7,57.14,3.4554,1.18,8.37,2.5259,-36.6,37.9,98.6
rsi_low_vol,M5,21,80,20,touch,1.5,4.0,100,0.2,33.09,31,22.58,1.0596,9.26,0.88,0,0.0,0.0,0.0,0.0,-1.0596,-9.26,-0.88,100.0,29.38,293,20.48,0.9933,35.89,-7.31,2,50.0,3.0929,1.25,2.56,2.0996,-34.64,9.87,99.32
rsi_low_vol,M15,21,80,20,cross,1.5,3.0,50,0.3,43.15,14,14.29,0.4763,8.18,-6.46,0,0.0,0.0,0.0,0.0,-0.4763,-8.18,6.46,100.0,41.31,112,22.32,0.8486,23.29,-13.85,2,50.0,2.7957,1.04,1.84,1.9471,-22.25,15.69,98.21
rsi_low_vol,M5,21,80,20,cross,1.5,3.0,50,0.2,36.77,31,22.58,0.7896,11.2,-5.66,0,0.0,0.0,0.0,0.0,-0.7896,-11.2,5.66,100.0,36.46,293,26.28,0.9978,43.87,-4.84,4,50.0,2.6889,2.15,3.62,1.6911,-41.72,8.46,98.63
rsi_low_vol,M5,21,80,20,cross,1.5,2.0,200,0.2,29.49,31,38.71,1.1279,7.53,2.3,1,0.0,0.0,1.08,-1.08,-1.1279,-6.45,-3.38,96.77,27.25,293,32.42,0.8738,45.5,-25.45,5,60.0,2.3434,1.22,3.13,1.4696,-44.28,28.58,98.29
rsi_low_vol,M5,21,80,20,touch,1.5,3.0,100,0.2,33.09,31,38.71,1.7157,5.27,14.94,0,0.0,0.0,0.0,0.0,-1.7157,-5.27,-14.94,100.0,29.38,293,23.89,0.8632,45.71,-30.76,2,50.0,2.2904,1.25,1.57,1.4272,-44.46,32.33,99.32
rsi_low_vol,M5,21,80,20,cross,1.5,4.0,50,0.3,42.97,31,19.35,0.8731,9.01,-3.91,0,0.0,0.0,0.0,0.0,-0.8731,-9.01,3.91,100.0,42.75,293,20.48,1.0296,44.3,1.2,5,40.0,2.4118,2.15,4.51,1.3822,-42.15,3.31,98.29
rsi_low_vol,M15,14,80,20,cross,1.5,2.0,200,0.2,21.04,68,30.88,0.8409,14.91,-8.09,0,0.0,0.0,0.0,0.0,-0.8409,-14.91,8.09,100.0,21.32,501,32.93,0.9203,36.16,-28.02,7,57.14,2.2613,1.18,4.22,1.341,-34.98,32.24,98.6
rsi_low_vol,M1,21,80,20,cross,1.5,4.0,100,0.2,32.52,268,16.04,0.846,50.69,-34.82,2,0.0,0.0,2.86,-2.86,-0.846,-47.83,31.96,99.25,34.08,1421,17.73,0.8632,88.24,-87.04,28,46.43,2.1678,5.68,26.18,1.3046,-82.56,113.22,98.03
rsi_low_vol,M5,21,80,20,touch,1.5,4.0,200,0.3,40.13,31,22.58,1.0596,9.26,0.88,5,60.0,5.3636,2.15,9.65,4.304,-7.11,8.77,83.87,38.31,293,20.48,0.9933,35.89,-7.31,20,40.0,2.2268,5.63,17.72,1.2335,-30.26,25.03,93.17
rsi_low_vol,M1,21,80,20,cross,1.5,4.0,50,0.3,40.91,268,16.04,0.846,50.69,-34.82,3,0.0,0.0,3.6,-3.6,-0.846,-47.09,31.22,98.88,42.16,1421,17.73,0.8632,88.24,-87.04,34,44.12,2.0412,4.68,29.52,1.178,-83.56,116.56,97.61
