strategy_family,tf,rsi_period,ob_level,os_level,entry_mode,sl_atr_mult,rr,vol_lookback,vol_threshold,train_gate_coverage_pct,train_base_trades,train_base_win_rate,train_base_profit_factor,train_base_max_drawdown_pct,train_base_pnl_pct,train_gated_trades,train_gated_win_rate,train_gated_profit_factor,train_gated_max_drawdown_pct,train_gated_pnl_pct,train_delta_profit_factor,train_delta_drawdown_pct,train_delta_pnl_pct,train_trade_reduction_pct,oos_gate_coverage_pct,oos_base_trades,oos_base_win_rate,oos_base_profit_factor,oos_base_max_drawdown_pct,oos_base_pnl_pct,oos_gated_trades,oos_gated_win_rate,oos_gated_profit_factor,oos_gated_max_drawdown_pct,oos_gated_pnl_pct,oos_delta_profit_factor,oos_delta_drawdown_pct,oos_delta_pnl_pct,oos_trade_reduction_pct
rsi_low_vol,M15,21,80,20,cross,1.5,4.0,50,0.3,43.15,14,0.0,0.0,13.13,-13.13,0,0.0,0.0,0.0,0.0,0.0,-13.13,13.13,100.0,41.31,112,16.96,0.8837,16.26,-11.23,2,50.0,4.0,1.0,2.96,3.1163,-15.26,14.19,98.21
rsi_low_vol,M15,14,80,20,cross,1.5,3.0,200,0.2,21.04,68,22.06,0.8491,19.51,-8.54,0,0.0,0.0,0.0,0.0,-0.8491,-19.51,8.54,100.0,21.32,501,24.55,0.984,24.63,-12.47,7,57.14,4.0,1.0,9.21,3.016,-23.63,21.68,98.6
rsi_low_vol,M15,21,80,20,cross,1.5,3.0,50,0.3,43.15,14,14.29,0.5,7.78,-5.96,0,0.0,0.0,0.0,0.0,-0.5,-7.78,5.96,100.0,41.31,112,23.21,0.9286,21.15,-7.29,2,50.0,3.0,1.0,1.97,2.0714,-20.15,9.26,98.21
rsi_low_vol,M15,14,80,20,cross,1.5,2.0,200,0.2,21.04,68,30.88,0.8936,13.33,-5.49,0,0.0,0.0,0.0,0.0,-0.8936,-13.33,5.49,100.0,21.32,501,33.33,1.003,26.65,-3.89,7,57.14,2.6667,1.0,5.03,1.6637,-25.65,8.92,98.6
rsi_low_vol,M15,21,80,20,cross,1.5,2.0,50,0.3,43.15,14,28.57,0.8,4.96,-2.11,0,0.0,0.0,0.0,0.0,-0.8,-4.96,2.11,100.0,41.31,112,33.04,1.0,15.96,-1.1,2,50.0,2.0,1.0,0.98,1.0,-14.96,2.08,98.21
rsi_low_vol,M15,21,80,30,cross,1.5,3.0,50,0.2,37.29,134,19.4,0.729,32.55,-26.42,4,0.0,0.0,2.97,-2.97,-0.729,-29.58,23.45,97.01,35.16,796,24.5,0.9799,39.01,-21.03,44,38.64,1.8889,4.96,26.0,0.909,-34.05,47.03,94.47
rsi_low_vol,M15,21,80,30,cross,1.5,4.0,50,0.2,37.29,134,13.43,0.6372,40.86,-34.93,4,0.0,0.0,2.97,-2.97,-0.6372,-37.89,31.96,97.01,35.16,796,19.35,0.9701,42.62,-28.96,44,31.82,1.8667,7.73,28.09,0.8966,-34.89,57.05,94.47
rsi_low_vol,M15,21,80,30,touch,1.5,4.0,50,0.2,37.29,134,14.18,0.6726,34.63,-32.33,4,0.0,0.0,3.94,-3.94,-0.6726,-30.69,28.39,97.01,35.16,796,20.48,1.0482,31.66,15.22,40,32.5,1.9259,6.88,26.94,0.8777,-24.78,11.72,94.97
rsi_low_vol,M15,21,80,30,touch,1.5,3.0,50,0.2,37.29,134,19.4,0.7358,28.48,-25.68,4,0.0,0.0,3.94,-3.94,-0.7358,-24.54,21.74,97.01,35.16,796,24.75,0.9966,40.36,-12.78,40,37.5,1.8,7.78,21.18,0.8034,-32.58,33.96,94.97
rsi_low_vol,M15,21,80,30,cross,1.5,2.0,50,0.2,37.29,134,30.6,0.8913,22.82,-10.66,4,0.0,0.0,2.97,-2.97,-0.8913,-19.85,7.69,97.01,35.16,796,32.66,0.9701,48.9,-21.2,44,45.45,1.6667,5.88,16.75,0.6966,-43.02,37.95,94.47
rsi_low_vol,M15,14,80,20,touch,1.5,3.0,100,0.2,22.18,68,26.47,1.08,10.57,3.0,0,0.0,0.0,0.0,0.0,-1.08,-10.57,-3.0,100.0,22.66,501,26.95,1.1157,31.22,40.8,8,37.5,1.8,1.99,3.92,0.6843,-29.23,-36.88,98.4
rsi_low_vol,M15,14,80,20,cross,1.5,4.0,200,0.2,21.04,68,14.71,0.6897,23.52,-17.36,0,0.0,0.0,0.0,0.0,-0.6897,-23.52,17.36,100.0,21.32,501,18.36,0.92,42.17,-33.76,7,28.57,1.6,2.97,2.86,0.68,-39.2,36.62,98.6
rsi_low_vol,M15,14,80,20,cross,1.5,3.0,100,0.3,30.26,68,22.06,0.8491,19.51,-8.54,1,0.0,0.0,1.0,-1.0,-0.8491,-18.51,7.54,98.53,30.47,501,24.55,0.984,24.63,-12.47,17,35.29,1.6364,3.94,6.91,0.6524,-20.69,19.38,96.61
rsi_low_vol,M15,21,80,30,touch,1.5,2.0,50,0.2,37.29,134,29.1,0.8298,22.47,-15.84,4,25.0,0.6667,2.97,-1.03,-0.1631,-19.5,14.81,97.01,35.16,796,33.79,1.0209,33.74,3.08,40,42.5,1.4783,4.0,11.13,0.4574,-29.74,8.05,94.97
rsi_low_vol,M15,14,80,20,cross,1.5,2.0,100,0.3,30.26,68,30.88,0.8936,13.33,-5.49,1,0.0,0.0,1.0,-1.0,-0.8936,-12.33,4.49,98.53,30.47,501,33.33,1.003,26.65,-3.89,17,41.18,1.4,2.02,3.89,0.397,-24.63,7.78,96.61
rsi_low_vol,M15,14,80,20,cross,1.5,2.0,200,0.3,30.01,68,30.88,0.8936,13.33,-5.49,5,80.0,8.0,1.0,7.16,7.1064,-12.33,12.65,92.65,30.41,501,33.33,1.003,26.65,-3.89,22,40.91,1.3846,2.05,4.87,0.3816,-24.6,8.76,95.61
rsi_low_vol,M15,21,80,30,touch,1.5,3.0,50,0.3,43.15,134,19.4,0.7358,28.48,-25.68,10,20.0,0.8571,4.9,-1.12,0.1213,-23.58,24.56,92.54,41.31,796,24.75,0.9966,40.36,-12.78,70,31.43,1.375,14.1,18.28,0.3784,-26.26,31.06,91.21
rsi_low_vol,M15,21,80,30,cross,1.5,4.0,200,0.3,30.01,134,13.43,0.6372,40.86,-34.93,8,0.0,0.0,7.73,-7.73,-0.6372,-33.13,27.2,94.03,30.41,796,19.35,0.9701,42.62,-28.96,48,25.0,1.3333,10.47,11.5,0.3632,-32.15,40.46,93.97
rsi_low_vol,M15,21,80,30,touch,1.5,4.0,50,0.3,43.15,134,14.18,0.6726,34.63,-32.33,10,20.0,1.1429,4.9,0.81,0.4703,-29.73,33.14,92.54,41.31,796,20.48,1.0482,31.66,15.22,70,25.71,1.3846,12.42,20.12,0.3364,-19.24,4.9,91.21
rsi_low_vol,M15,14,80,20,cross,1.5,2.0,100,0.2,22.18,68,30.88,0.8936,13.33,-5.49,0,0.0,0.0,0.0,0.0,-0.8936,-13.33,5.49,100.0,22.66,501,33.33,1.003,26.65,-3.89,5,40.0,1.3333,1.99,0.95,0.3303,-24.66,4.84,99.0
rsi_low_vol,M15,21,80,30,touch,1.5,2.0,100,0.3,30.26,134,29.1,0.8298,22.47,-15.84,11,9.09,0.2,7.75,-7.75,-0.6298,-14.72,8.09,91.79,30.47,796,33.79,1.0209,33.74,3.08,55,40.0,1.3333,7.78,10.96,0.3124,-25.96,7.88,93.09
rsi_low_vol,M15,14,80,20,cross,1.5,4.0,100,0.3,30.26,68,14.71,0.6897,23.52,-17.36,1,0.0,0.0,1.0,-1.0,-0.6897,-22.52,16.36,98.53,30.47,501,18.36,0.92,42.17,-33.76,17,23.53,1.2308,6.79,2.66,0.3108,-35.38,36.42,96.61
rsi_low_vol,M15,21,70,20,touch,1.5,3.0,100,0.3,30.26,168,25.0,1.0,35.01,-2.46,10,10.0,0.3333,5.91,-5.91,-0.6667,-29.1,-3.45,94.05,30.47,786,23.66,0.9331,65.42,-40.08,69,28.99,1.2245,15.76,10.37,0.2914,-49.66,50.45,91.22
rsi_low_vol,M15,14,80,20,touch,1.5,4.0,100,0.2,22.18,68,23.53,1.2308,12.25,11.06,0,0.0,0.0,0.0,0.0,-1.2308,-12.25,-11.06,100.0,22.66,501,20.76,1.0694,37.1,18.46,8,25.0,1.3333,2.97,1.83,0.2639,-34.13,-16.63,98.4
rsi_low_vol,M15,21,70,30,touch,1.5,3.0,100,0.3,30.26,288,22.57,0.8824,35.17,-25.9,20,10.0,0.3333,11.47,-11.47,-0.5491,-23.7,14.43,93.06,30.47,1470,24.49,0.9791,62.44,-35.88,124,29.03,1.2273,12.3,19.68,0.2482,-50.14,55.56,91.56
rsi_low_vol,M15,21,80,30,touch,1.5,2.0,50,0.3,43.15,134,29.1,0.8298,22.47,-15.84,10,30.0,1.0,4.9,-0.09,0.1702,-17.57,15.75,92.54,41.31,796,33.79,1.0209,33.74,3.08,70,38.57,1.2558,6.02,10.79,0.2349,-27.72,7.71,91.21
rsi_low_vol,M15,21,80,30,touch,1.5,3.0,100,0.3,30.26,134,19.4,0.7358,28.48,-25.68,11,9.09,0.3,7.73,-6.85,-0.4358,-20.75,18.83,91.79,30.47,796,24.75,0.9966,40.36,-12.78,55,29.09,1.2308,11.52,8.43,0.2342,-28.84,21.21,93.09
rsi_low_vol,M15,21,80,30,touch,1.5,2.0,100,0.2,22.18,134,29.1,0.8298,22.47,-15.84,4,0.0,0.0,3.94,-3.94,-0.8298,-18.53,11.9,97.01,22.66,796,33.79,1.0209,33.74,3.08,26,38.46,1.25,5.88,3.79,0.2291,-27.86,0.71,96.73
rsi_low_vol,M15,21,80,30,touch,1.5,4.0,200,0.3,30.01,134,14.18,0.6726,34.63,-32.33,16,18.75,0.9231,3.94,-1.29,0.2505,-30.69,31.04,88.06,30.41,796,20.48,1.0482,31.66,15.22,62,24.19,1.2766,9.74,12.29,0.2284,-21.92,-2.93,92.21
rsi_low_vol,M15,21,70,20,touch,1.5,4.0,100,0.3,30.26,168,20.24,1.0226,41.28,-0.32,10,10.0,0.4444,4.99,-4.99,-0.5782,-36.29,-4.67,94.05,30.47,786,18.07,0.8945,73.4,-55.63,69,21.74,1.1111,17.71,4.66,0.2166,-55.69,60.29,91.22
rsi_low_vol,M15,21,80,30,touch,1.5,4.0,100,0.3,30.26,134,14.18,0.6726,34.63,-32.33,11,9.09,0.4,7.73,-5.94,-0.2726,-26.9,26.39,91.79,30.47,796,20.48,1.0482,31.66,15.22,55,23.64,1.2381,9.74,9.17,0.1899,-21.92,-6.05,93.09
rsi_low_vol,M15,21,70,30,touch,1.5,4.0,100,0.3,30.26,288,17.71,0.8718,40.7,-29.64,20,10.0,0.4444,10.55,-9.74,-0.4274,-30.15,19.9,93.06,30.47,1470,19.59,0.9897,72.32,-33.17,124,22.58,1.1667,17.28,14.26,0.177,-55.04,47.43,91.56
rsi_low_vol,M15,14,80,30,cross,1.5,2.0,200,0.2,21.04,362,35.64,1.1121,23.35,24.96,27,29.63,0.8421,9.67,-3.2,-0.27,-13.68,-28.16,92.54,21.32,1901,33.67,1.0151,64.51,0.02,153,37.25,1.1875,14.15,17.81,0.1724,-50.36,17.79,91.95
rsi_low_vol,M15,21,70,30,touch,1.5,2.0,100,0.3,30.26,288,31.94,0.9436,28.08,-12.89,20,15.0,0.3529,10.55,-10.55,-0.5907,-17.53,2.34,93.06,30.47,1470,33.54,1.0092,36.93,-5.49,124,37.1,1.1795,13.15,13.54,0.1703,-23.78,19.03,91.56
rsi_low_vol,M15,21,80,30,touch,1.5,4.0,100,0.2,22.18,134,14.18,0.6726,34.63,-32.33,4,0.0,0.0,3.94,-3.94,-0.6726,-30.69,28.39,97.01,22.66,796,20.48,1.0482,31.66,15.22,26,23.08,1.2,7.73,3.49,0.1518,-23.93,-11.73,96.73
rsi_low_vol,M15,14,80,20,cross,1.5,3.0,200,0.3,30.01,68,22.06,0.8491,19.51,-8.54,5,40.0,2.0,2.97,2.94,1.1509,-16.54,11.48,92.65,30.41,501,24.55,0.984,24.63,-12.47,22,27.27,1.125,4.96,1.67,0.141,-19.67,14.14,95.61
rsi_low_vol,M15,21,80,30,cross,1.5,2.0,200,0.2,21.04,134,30.6,0.8913,22.82,-10.66,6,0.0,0.0,5.85,-5.85,-0.8913,-16.97,4.81,95.52,21.32,796,32.66,0.9701,48.9,-21.2,28,35.71,1.1111,3.97,1.73,0.141,-44.93,22.93,96.48
rsi_low_vol,M15,14,80,30,cross,1.5,2.0,100,0.2,22.18,362,35.64,1.1121,23.35,24.96,20,25.0,0.6667,12.27,-5.04,-0.4454,-11.08,-30.0,94.48,22.66,1901,33.67,1.0151,64.51,0.02,156,36.54,1.1515,11.73,14.31,0.1364,-52.78,14.29,91.79
rsi_low_vol,M15,21,80,30,cross,1.5,3.0,200,0.3,30.01,134,19.4,0.729,32.55,-26.42,8,0.0,0.0,7.73,-7.73,-0.729,-24.82,18.69,94.03,30.41,796,24.5,0.9799,39.01,-21.03,48,27.08,1.1143,9.62,3.3,0.1344,-29.39,24.33,93.97
rsi_low_vol,M15,14,80,30,cross,1.5,3.0,200,0.2,21.04,362,26.8,1.1107,32.95,26.37,27,29.63,1.2632,6.79,4.66,0.1525,-26.16,-21.71,92.54,21.32,1901,24.3,0.9679,74.87,-52.09,153,26.8,1.0982,13.13,9.01,0.1303,-61.74,61.1,91.95
rsi_low_vol,M15,21,80,30,cross,1.5,2.0,200,0.3,30.01,134,30.6,0.8913,22.82,-10.66,8,0.0,0.0,7.73,-7.73,-0.8913,-15.09,2.93,94.03,30.41,796,32.66,0.9701,48.9,-21.2,48,35.42,1.0968,7.81,2.54,0.1267,-41.09,23.74,93.97
rsi_low_vol,M15,14,80,20,touch,1.5,2.0,100,0.3,30.26,68,36.76,1.1628,6.9,6.49,2,50.0,2.0,1.0,0.98,0.8372,-5.9,-5.51,97.06,30.47,501,36.73,1.1609,26.65,58.05,23,39.13,1.2857,4.05,3.82,0.1248,-22.6,-54.23,95.41
rsi_low_vol,M15,14,80,20,cross,1.5,2.0,50,0.3,43.15,68,30.88,0.8936,13.33,-5.49,3,33.33,1.0,1.99,-0.03,0.1064,-11.34,5.46,95.59,41.31,501,33.33,1.003,26.65,-3.89,25,36.0,1.125,4.96,1.76,0.122,-21.69,5.65,95.01
rsi_low_vol,M15,21,80,30,cross,1.5,2.0,50,0.3,43.15,134,30.6,0.8913,22.82,-10.66,10,20.0,0.5714,3.94,-3.03,-0.3199,-18.88,7.63,92.54,41.31,796,32.66,0.9701,48.9,-21.2,68,35.29,1.0909,10.55,3.36,0.1208,-38.35,24.56,91.46
rsi_low_vol,M15,21,80,30,cross,1.5,4.0,200,0.2,21.04,134,13.43,0.6372,40.86,-34.93,6,0.0,0.0,5.85,-5.85,-0.6372,-35.01,29.08,95.52,21.32,796,19.35,0.9701,42.62,-28.96,28,21.43,1.0909,8.65,1.43,0.1208,-33.97,30.39,96.48
rsi_low_vol,M15,21,80,30,touch,1.5,3.0,100,0.2,22.18,134,19.4,0.7358,28.48,-25.68,4,0.0,0.0,3.94,-3.94,-0.7358,-24.54,21.74,97.01,22.66,796,24.75,0.9966,40.36,-12.78,26,26.92,1.1053,7.73,1.61,0.1087,-32.63,14.39,96.73
rsi_low_vol,M15,21,70,20,touch,1.5,2.0,100,0.3,30.26,168,33.93,1.027,24.82,1.32,10,20.0,0.5,4.93,-4.0,-0.527,-19.89,-5.32,94.05,30.47,786,32.44,0.9605,53.28,-24.95,69,34.78,1.0667,14.02,2.33,0.1062,-39.26,27.28,91.22
rsi_low_vol,M15,14,80,30,cross,1.5,3.0,100,0.2,22.18,362,26.8,1.1107,32.95,26.37,20,25.0,1.0,11.41,-0.3,-0.1107,-21.54,-26.67,94.48,22.66,1901,24.3,0.9679,74.87,-52.09,156,26.28,1.0696,15.11,5.77,0.1017,-59.76,57.86,91.79
rsi_low_vol,M15,21,80,30,cross,1.5,3.0,50,0.3,43.15,134,19.4,0.729,32.55,-26.42,10,10.0,0.375,4.96,-4.96,-0.354,-27.59,21.46,92.54,41.31,796,24.5,0.9799,39.01,-21.03,68,26.47,1.08,11.47,3.0,0.1001,-27.54,24.03,91.46
rsi_low_vol,M15,21,80,30,cross,1.5,4.0,100,0.2,22.18,134,13.43,0.6372,40.86,-34.93,4,0.0,0.0,3.94,-3.94,-0.6372,-36.92,30.99,97.01,22.66,796,19.35,0.9701,42.62,-28.96,24,20.83,1.0526,6.88,0.52,0.0825,-35.74,29.48,96.98
rsi_low_vol,M15,14,80,30,cross,1.5,2.0,200,0.3,30.01,362,35.64,1.1121,23.35,24.96,39,28.21,0.7857,12.43,-6.16,-0.3264,-10.92,-31.12,89.23,30.41,1901,33.67,1.0151,64.51,0.02,263,35.36,1.0941,21.46,14.23,0.079,-43.05,14.21,86.17
rsi_low_vol,M15,21,70,20,cross,1.5,2.0,100,0.3,30.26,168,33.33,1.0,30.07,-1.66,8,25.0,0.6667,3.0,-2.05,-0.3333,-27.07,-0.39,95.24,30.47,786,33.72,1.0192,41.45,2.18,65,35.38,1.0952,12.27,3.39,0.076,-29.18,1.21,91.73
rsi_low_vol,M15,21,80,30,touch,1.5,2.0,200,0.2,21.04,134,29.1,0.8298,22.47,-15.84,10,10.0,0.2222,6.82,-6.82,-0.6076,-15.65,9.02,92.54,21.32,796,33.79,1.0209,33.74,3.08,34,35.29,1.0909,5.88,1.67,0.07,-27.86,-1.41,95.73
